Project Name,Street Name,Postal District,Property Type,No of Bedroom,Monthly Rent ($),Floor Area (SQM),Floor Area (SQFT),Lease Commencement Date
PARC CLEMATIS,JALAN LEMPENG,05,Non-Landed Properties,2,"3,850",60 to 70,600 to 700,May-26
EASTERN LAGOON,UPPER EAST COAST ROAD,16,Non-Landed Properties,2,"3,330",90 to 100,"1,000 to 1,100",May-26
THE PALETTE,PASIR RIS GROVE,18,Non-Landed Properties,2,"3,100",70 to 80,700 to 800,May-26
FLO RESIDENCE,PUNGGOL FIELD WALK,19,Non-Landed Properties,3,"4,300",90 to 100,"1,000 to 1,100",May-26
THE RISE @ OXLEY - RESIDENCES,OXLEY RISE,09,Non-Landed Properties,2,"4,500",60 to 70,600 to 700,May-26
KATONG GARDENS,TEMBELING ROAD,15,Non-Landed Properties,NA,"7,700",180 to 190,"1,900 to 2,000",May-26
LE QUEST,BUKIT BATOK STREET 41,23,Non-Landed Properties,1,"3,000",40 to 50,400 to 500,May-26
PARK COLONIAL,WOODLEIGH LANE,13,Non-Landed Properties,4,"9,500",130 to 140,"1,400 to 1,500",May-26
REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,04,Non-Landed Properties,3,"9,500",160 to 170,"1,700 to 1,800",May-26
PARC OASIS,JURONG EAST AVENUE 1,22,Non-Landed Properties,2,"3,900",100 to 110,"1,000 to 1,100",May-26
COMMONWEALTH TOWERS,COMMONWEALTH AVENUE,03,Non-Landed Properties,1,"3,500",40 to 50,400 to 500,May-26
RIPPLE BAY,PASIR RIS LINK,18,Non-Landed Properties,3,"4,700",100 to 110,"1,000 to 1,100",May-26
SUNSHINE PLAZA,PRINSEP LINK,07,Non-Landed Properties,3,"5,000",100 to 110,"1,100 to 1,200",May-26
THE BEAUMONT,DEVONSHIRE ROAD,09,Non-Landed Properties,3,"6,100",170 to 180,"1,900 to 2,000",May-26
BUONA VISTA GARDENS,ZEHNDER ROAD,05,Non-Landed Properties,2,"4,000",110 to 120,"1,200 to 1,300",May-26
VISTA RESIDENCES,JALAN DATOH,12,Non-Landed Properties,1,"3,000",50 to 60,600 to 700,May-26
SKYSUITES17,JALAN RAJAH,12,Non-Landed Properties,1,"2,800",30 to 40,300 to 400,May-26
ECO,BEDOK SOUTH AVENUE 3,16,Non-Landed Properties,1,"3,200",60 to 70,600 to 700,May-26
THE RAINTREE,BUKIT DRIVE,21,Non-Landed Properties,2,"3,600",80 to 90,"900 to 1,000",May-26
THE POIZ RESIDENCES,MEYAPPA CHETTIAR ROAD,13,Non-Landed Properties,1,"3,050",30 to 40,400 to 500,May-26
THE REGENCY AT TIONG BAHRU,CHAY YAN STREET,03,Non-Landed Properties,2,"5,200",80 to 90,"900 to 1,000",May-26
PARC ROSEWOOD,ROSEWOOD DRIVE,25,Non-Landed Properties,1,"2,500",40 to 50,400 to 500,May-26
WILLYN VILLE,HOLLAND AVENUE,10,Non-Landed Properties,2,"3,900",80 to 90,800 to 900,May-26
THE POIZ RESIDENCES,MEYAPPA CHETTIAR ROAD,13,Non-Landed Properties,1,"3,600",50 to 60,500 to 600,May-26
MEYER RESIDENCE,MEYER PLACE,15,Non-Landed Properties,2,"4,900",90 to 100,"1,000 to 1,100",May-26
SENGKANG GRAND RESIDENCES,COMPASSVALE BOW,19,Non-Landed Properties,1,"3,250",40 to 50,500 to 600,May-26
NINETEEN SHELFORD ROAD,SHELFORD ROAD,11,Non-Landed Properties,3,"5,000",100 to 110,"1,100 to 1,200",May-26
PARC CLEMATIS,JALAN LEMPENG,05,Non-Landed Properties,1,"3,250",40 to 50,500 to 600,May-26
CASPIAN,LAKESIDE DRIVE,22,Non-Landed Properties,2,"4,500",80 to 90,"900 to 1,000",May-26
BLUE HORIZON,WEST COAST CRESCENT,05,Non-Landed Properties,3,"5,500",100 to 110,"1,100 to 1,200",May-26
SUNNYVALE RESIDENCES,LORONG K TELOK KURAU,15,Non-Landed Properties,2,"4,700",90 to 100,"900 to 1,000",May-26
NASSIM REGENCY,NASSIM ROAD,10,Non-Landed Properties,3,"11,300",190 to 200,"2,000 to 2,100",May-26
CLUNY PARK RESIDENCE,CLUNY PARK ROAD,10,Non-Landed Properties,2,"7,200",110 to 120,"1,200 to 1,300",May-26
ASTORIA PARK,LORONG MYDIN,14,Non-Landed Properties,3,"4,650",110 to 120,"1,100 to 1,200",May-26
PASTORAL VIEW,BASSEIN ROAD,11,Non-Landed Properties,2,"3,601",90 to 100,"900 to 1,000",May-26
D'LEEDON,LEEDON HEIGHTS,10,Non-Landed Properties,2,"5,600",100 to 110,"1,000 to 1,100",May-26
TREASURE AT TAMPINES,TAMPINES LANE,18,Non-Landed Properties,2,"3,400",60 to 70,600 to 700,May-26
EIGHT COURTYARDS,CANBERRA DRIVE,27,Non-Landed Properties,3,"4,300",100 to 110,"1,100 to 1,200",May-26
SKY VUE,BISHAN STREET 15,20,Non-Landed Properties,3,"6,200",100 to 110,"1,100 to 1,200",May-26
D'NEST,PASIR RIS GROVE,18,Non-Landed Properties,3,"3,900",80 to 90,"900 to 1,000",May-26
AMBER PARK,AMBER GARDENS,15,Non-Landed Properties,4,"9,100",140 to 150,"1,500 to 1,600",May-26
ICON,GOPENG STREET,02,Non-Landed Properties,1,"4,000",60 to 70,600 to 700,May-26
SKY VUE,BISHAN STREET 15,20,Non-Landed Properties,1,"3,450",40 to 50,400 to 500,May-26
ECO,BEDOK SOUTH AVENUE 3,16,Non-Landed Properties,1,"3,000",50 to 60,600 to 700,May-26
HILLION RESIDENCES,JELEBU ROAD,23,Non-Landed Properties,NA,"2,850",40 to 50,400 to 500,May-26
THE CASCADIA,BUKIT TIMAH ROAD,21,Non-Landed Properties,4,"7,100",130 to 140,"1,400 to 1,500",May-26
THE COSMOPOLITAN,KIM SENG ROAD,09,Non-Landed Properties,4,"9,500",150 to 160,"1,600 to 1,700",May-26
THE TEMBUSU,TAMPINES ROAD,19,Non-Landed Properties,3,"5,400",110 to 120,"1,200 to 1,300",May-26
THE ANCHORAGE,ALEXANDRA ROAD,03,Non-Landed Properties,3,"5,300",130 to 140,"1,400 to 1,500",May-26
SIXTEEN35 RESIDENCES,LORONG 35 GEYLANG,14,Non-Landed Properties,2,"3,500",60 to 70,700 to 800,May-26
PARC ROSEWOOD,ROSEWOOD DRIVE,25,Non-Landed Properties,1,"2,450",40 to 50,400 to 500,May-26
THE BOTANY AT DAIRY FARM,DAIRY FARM WALK,23,Non-Landed Properties,3,"4,300",80 to 90,"900 to 1,000",May-26
MERAWOODS,HILLVIEW AVENUE,23,Non-Landed Properties,3,"4,300",120 to 130,"1,300 to 1,400",May-26
SKIES MILTONIA,MILTONIA CLOSE,27,Non-Landed Properties,1,"2,600",40 to 50,400 to 500,May-26
ONE DUSUN RESIDENCES,JALAN DUSUN,12,Non-Landed Properties,2,"3,100",40 to 50,500 to 600,May-26
TEMBUSU GRAND,JALAN TEMBUSU,15,Non-Landed Properties,4,"8,900",130 to 140,"1,400 to 1,500",May-26
CAIRNHILL NINE,CAIRNHILL ROAD,09,Non-Landed Properties,1,"5,500",50 to 60,600 to 700,May-26
38 I SUITES,IPOH LANE,15,Non-Landed Properties,2,"4,000",110 to 120,"1,200 to 1,300",May-26
NORTHVALE,CHOA CHU KANG LOOP,23,Non-Landed Properties,1,"2,850",60 to 70,600 to 700,May-26
QUEENS PEAK,DUNDEE ROAD,03,Non-Landed Properties,3,"6,000",80 to 90,"900 to 1,000",May-26
RIVERFRONT RESIDENCES,HOUGANG AVENUE 7,19,Non-Landed Properties,1,"2,850",40 to 50,500 to 600,May-26
OXLEY EDGE,RIVER VALLEY ROAD,09,Non-Landed Properties,1,"3,500",30 to 40,300 to 400,May-26
PALM ISLES,FLORA DRIVE,17,Non-Landed Properties,3,"3,750",90 to 100,"900 to 1,000",May-26
TEMBUSU GRAND,JALAN TEMBUSU,15,Non-Landed Properties,2,"4,800",60 to 70,700 to 800,May-26
RIVER PLACE,HAVELOCK ROAD,03,Non-Landed Properties,1,"4,500",70 to 80,800 to 900,May-26
SOPHIA HILLS,MOUNT SOPHIA,09,Non-Landed Properties,2,"4,200",50 to 60,500 to 600,May-26
NOVENA SUITES,MOULMEIN ROAD,11,Non-Landed Properties,2,"4,400",80 to 90,"900 to 1,000",May-26
LAKE GRANDE,JURONG LAKE LINK,22,Non-Landed Properties,1,"3,100",30 to 40,400 to 500,May-26
ECO,BEDOK SOUTH AVENUE 3,16,Non-Landed Properties,1,"3,400",60 to 70,600 to 700,May-26
CAIRNHILL RESIDENCES,CAIRNHILL CIRCLE,09,Non-Landed Properties,2,"5,300",80 to 90,"900 to 1,000",May-26
WHISTLER GRAND,WEST COAST VALE,05,Non-Landed Properties,1,"3,300",40 to 50,400 to 500,May-26
TIONG BAHRU ESTATE,CHAY YAN STREET,03,Non-Landed Properties,NA,"4,650",70 to 80,800 to 900,May-26
THE FORESTA @ MOUNT FABER,WISHART ROAD,04,Non-Landed Properties,1,"3,300",40 to 50,400 to 500,May-26
TRIBECA,KIM SENG ROAD,09,Non-Landed Properties,1,"3,900",50 to 60,500 to 600,May-26
LOFT@HOLLAND,HOLLAND ROAD,10,Non-Landed Properties,1,"4,400",40 to 50,400 to 500,May-26
THE SHORE RESIDENCES,AMBER ROAD,15,Non-Landed Properties,1,"4,350",60 to 70,600 to 700,May-26
ECHELON,ALEXANDRA VIEW,03,Non-Landed Properties,1,"3,700",40 to 50,400 to 500,May-26
LENTOR MODERN,LENTOR CENTRAL,26,Non-Landed Properties,2,"3,500",60 to 70,600 to 700,May-26
TEMBUSU GRAND,JALAN TEMBUSU,15,Non-Landed Properties,1,"3,600",40 to 50,500 to 600,May-26
ONE AMBER,AMBER GARDENS,15,Non-Landed Properties,3,"6,200",110 to 120,"1,200 to 1,300",May-26
J GATEWAY,GATEWAY DRIVE,22,Non-Landed Properties,1,"3,600",40 to 50,400 to 500,May-26
THE SCOTTS TOWER,SCOTTS ROAD,09,Non-Landed Properties,2,"5,900",80 to 90,"900 to 1,000",May-26
ROBINSON SUITES,ROBINSON ROAD,01,Non-Landed Properties,2,"4,500",50 to 60,600 to 700,May-26
DEVONSHIRE RESIDENCES,DEVONSHIRE ROAD,09,Non-Landed Properties,1,"3,250",40 to 50,400 to 500,May-26
OKIO,BALESTIER ROAD,12,Non-Landed Properties,1,"3,000",30 to 40,400 to 500,May-26
KINGSFORD WATERBAY,UPPER SERANGOON VIEW,19,Non-Landed Properties,2,"2,800",50 to 60,600 to 700,May-26
RV ALTITUDE,RIVER VALLEY ROAD,09,Non-Landed Properties,2,"4,000",40 to 50,400 to 500,May-26
BUCKLEY RESIDENCE,BUCKLEY ROAD,11,Non-Landed Properties,1,"3,450",40 to 50,500 to 600,May-26
LENTOR MODERN,LENTOR CENTRAL,26,Non-Landed Properties,2,"4,200",60 to 70,600 to 700,May-26
THE FLORENCE RESIDENCES,HOUGANG AVENUE 2,19,Non-Landed Properties,2,"3,500",60 to 70,600 to 700,May-26
STARLIGHT SUITES,RIVER VALLEY CLOSE,09,Non-Landed Properties,1,"3,700",50 to 60,500 to 600,May-26
CHANGI GREEN,UPPER CHANGI ROAD EAST,16,Non-Landed Properties,2,"3,400",80 to 90,800 to 900,May-26
LENTOR MODERN,LENTOR CENTRAL,26,Non-Landed Properties,1,"3,200",40 to 50,500 to 600,May-26
MELVILLE PARK,SIMEI STREET 1,18,Non-Landed Properties,3,"3,700",120 to 130,"1,300 to 1,400",May-26
COCO PALMS,PASIR RIS GROVE,18,Non-Landed Properties,3,"4,000",80 to 90,"900 to 1,000",May-26
PRESTIGE HEIGHTS,BALESTIER ROAD,12,Non-Landed Properties,NA,"2,400",30 to 40,300 to 400,May-26
LAKE GRANDE,JURONG LAKE LINK,22,Non-Landed Properties,2,"4,200",70 to 80,700 to 800,May-26
TEMBUSU GRAND,JALAN TEMBUSU,15,Non-Landed Properties,1,"3,400",40 to 50,500 to 600,May-26
DOMUS,IRRAWADDY ROAD,12,Non-Landed Properties,2,"4,200",80 to 90,"900 to 1,000",May-26
D'LEEDON,LEEDON HEIGHTS,10,Non-Landed Properties,1,"3,900",50 to 60,600 to 700,May-26
TREASURE AT TAMPINES,TAMPINES LANE,18,Non-Landed Properties,3,"4,300",80 to 90,"900 to 1,000",May-26
IRWELL HILL RESIDENCES,IRWELL HILL,09,Non-Landed Properties,NA,"3,500",30 to 40,300 to 400,May-26
THE TRE VER,POTONG PASIR AVENUE 1,13,Non-Landed Properties,2,"4,000",60 to 70,600 to 700,May-26
THE CLIFT,MCCALLUM STREET,01,Non-Landed Properties,1,"4,000",40 to 50,500 to 600,May-26
TANGLIN PARK,RIDLEY PARK,10,Non-Landed Properties,4,"9,000",180 to 190,"1,900 to 2,000",May-26
THE SANTORINI,TAMPINES STREET 86,18,Non-Landed Properties,1,"2,900",40 to 50,500 to 600,May-26
D'BANYAN,JALAN SENDUDOK,27,Non-Landed Properties,1,"2,800",130 to 140,"1,400 to 1,500",May-26
NOTTINGHILL SUITES,TOH TUCK ROAD,21,Non-Landed Properties,1,"2,500",30 to 40,300 to 400,May-26
EUHABITAT,JALAN EUNOS,14,Non-Landed Properties,1,"3,000",50 to 60,500 to 600,May-26
GLOUCESTER MANSIONS,NEWTON ROAD,11,Non-Landed Properties,2,"4,300",80 to 90,"900 to 1,000",May-26
SEASIDE RESIDENCES,SIGLAP LINK,15,Non-Landed Properties,1,"3,300",30 to 40,400 to 500,May-26
ESTA RUBY,GUILLEMARD ROAD,14,Non-Landed Properties,2,"4,500",80 to 90,"900 to 1,000",May-26
SUNHAVEN,UPPER CHANGI ROAD EAST,16,Non-Landed Properties,2,"3,300",90 to 100,"1,000 to 1,100",May-26
LA SUISSE,SWISS VIEW,11,Non-Landed Properties,3,"7,000",220 to 230,"2,400 to 2,500",May-26
SKY VUE,BISHAN STREET 15,20,Non-Landed Properties,3,"6,000",100 to 110,"1,100 to 1,200",May-26
ELIZABETH TOWER,MOUNT ELIZABETH,09,Non-Landed Properties,3,"5,900",180 to 190,"2,000 to 2,100",May-26
BARTLEY RESIDENCES,LORONG HOW SUN,19,Non-Landed Properties,2,"4,400",80 to 90,"900 to 1,000",May-26
LIBERTE,SARKIES ROAD,10,Non-Landed Properties,1,"3,800",60 to 70,600 to 700,May-26
BARTLEY RESIDENCES,LORONG HOW SUN,19,Non-Landed Properties,3,"6,200",150 to 160,"1,600 to 1,700",May-26
HUNDRED TREES,WEST COAST DRIVE,05,Non-Landed Properties,1,"2,900",40 to 50,400 to 500,May-26
RV RESIDENCES,RIVER VALLEY ROAD,10,Non-Landed Properties,1,"3,200",30 to 40,400 to 500,May-26
KATONG REGENCY,TANJONG KATONG ROAD,15,Non-Landed Properties,1,"3,300",50 to 60,500 to 600,May-26
NV RESIDENCES,PASIR RIS GROVE,18,Non-Landed Properties,3,"4,300",110 to 120,"1,100 to 1,200",May-26
THE WATERINA,LORONG 40 GEYLANG,14,Non-Landed Properties,1,"3,350",50 to 60,600 to 700,May-26
MARINA BAY RESIDENCES,MARINA BOULEVARD,01,Non-Landed Properties,1,"6,050",60 to 70,700 to 800,May-26
NORTH PARK RESIDENCES,YISHUN CENTRAL 1,27,Non-Landed Properties,NA,"2,900",40 to 50,400 to 500,May-26
THE LUXURIE,COMPASSVALE ROAD,19,Non-Landed Properties,3,"4,100",90 to 100,"1,000 to 1,100",May-26
FENG LAI MANSION,LORONG 30 GEYLANG,14,Non-Landed Properties,NA,"3,700",80 to 90,"900 to 1,000",May-26
FENG LAI MANSION,LORONG 30 GEYLANG,14,Non-Landed Properties,NA,"3,700",80 to 90,"900 to 1,000",May-26
FENG LAI MANSION,LORONG 30 GEYLANG,14,Non-Landed Properties,NA,"3,700",80 to 90,"900 to 1,000",May-26
FENG LAI MANSION,LORONG 30 GEYLANG,14,Non-Landed Properties,NA,"3,700",80 to 90,"900 to 1,000",May-26
FENG LAI MANSION,LORONG 30 GEYLANG,14,Non-Landed Properties,NA,"3,700",80 to 90,"900 to 1,000",May-26
FENG LAI MANSION,LORONG 30 GEYLANG,14,Non-Landed Properties,NA,"3,700",80 to 90,"900 to 1,000",May-26
DOUBLE BAY RESIDENCES,SIMEI STREET 4,18,Non-Landed Properties,3,"4,800",110 to 120,"1,200 to 1,300",May-26
TANGLIN VIEW,PRINCE CHARLES CRESCENT,03,Non-Landed Properties,3,"5,200",110 to 120,"1,200 to 1,300",May-26
EASTPOINT GREEN,SIMEI STREET 3,18,Non-Landed Properties,2,"2,000",80 to 90,"900 to 1,000",May-26
THE METROPOLITAN CONDOMINIUM,ALEXANDRA VIEW,03,Non-Landed Properties,2,"6,100",90 to 100,"1,000 to 1,100",May-26
FENG LAI MANSION,LORONG 30 GEYLANG,14,Non-Landed Properties,NA,"3,700",80 to 90,"900 to 1,000",May-26
FENG LAI MANSION,LORONG 30 GEYLANG,14,Non-Landed Properties,NA,"3,700",80 to 90,"900 to 1,000",May-26
SEASCAPE,COVE WAY,04,Non-Landed Properties,4,"14,800",240 to 250,"2,600 to 2,700",May-26
COMMONWEALTH TOWERS,COMMONWEALTH AVENUE,03,Non-Landed Properties,1,"3,600",40 to 50,400 to 500,May-26
SOPHIA HILLS,MOUNT SOPHIA,09,Non-Landed Properties,1,"4,300",50 to 60,500 to 600,May-26
D'LEEDON,LEEDON HEIGHTS,10,Non-Landed Properties,2,"5,700",70 to 80,700 to 800,May-26
NV RESIDENCES,PASIR RIS GROVE,18,Non-Landed Properties,3,"4,100",100 to 110,"1,100 to 1,200",May-26
VARSITY PARK CONDOMINIUM,WEST COAST ROAD,05,Non-Landed Properties,3,"6,700",130 to 140,"1,400 to 1,500",May-26
CARIBBEAN AT KEPPEL BAY,KEPPEL BAY DRIVE,04,Non-Landed Properties,3,"6,900",110 to 120,"1,200 to 1,300",May-26
ROBERTSON 100,ROBERTSON QUAY,09,Non-Landed Properties,2,"4,600",80 to 90,800 to 900,May-26
NON-LANDED HOUSING DEVELOPMENT,DAIRY FARM WALK,23,Non-Landed Properties,5,"8,300",140 to 150,"1,500 to 1,600",May-26
HILLVIEW APARTMENTS,HILLVIEW AVENUE,23,Non-Landed Properties,3,"3,600",110 to 120,"1,200 to 1,300",May-26
BARTLEY RESIDENCES,LORONG HOW SUN,19,Non-Landed Properties,1,"3,100",40 to 50,400 to 500,May-26
PATERSON SUITES,PATERSON ROAD,09,Non-Landed Properties,4,"16,000",200 to 210,"2,100 to 2,200",May-26
THE COTZ,TELOK KURAU ROAD,15,Non-Landed Properties,1,"2,500",40 to 50,400 to 500,May-26
DELFI ORCHARD,ORCHARD ROAD,09,Non-Landed Properties,2,"5,000",100 to 110,"1,100 to 1,200",May-26
ENG KONG GREEN,ENG KONG CRESCENT,21,Non-Landed Properties,2,"4,000",90 to 100,"1,000 to 1,100",May-26
DUO RESIDENCES,FRASER STREET,07,Non-Landed Properties,NA,"3,400",30 to 40,400 to 500,May-26
LEEDON GREEN,LEEDON HEIGHTS,10,Non-Landed Properties,3,"9,200",120 to 130,"1,300 to 1,400",May-26
