Project Name,Street Name,Postal District,Property Type,No of Bedroom,Monthly Rent ($),Floor Area (SQM),Floor Area (SQFT),Lease Commencement Date
CASA CAMBIO,LIM TUA TOW ROAD,19,Non-Landed Properties,1,"2,540",30 to 40,400 to 500,Dec-24
THE TROPICA,TAMPINES AVENUE 1,18,Non-Landed Properties,3,"4,000",110 to 120,"1,200 to 1,300",Dec-24
PRIMO RESIDENCES,JALAN PELIKAT,19,Non-Landed Properties,2,"3,600",70 to 80,800 to 900,Dec-24
THE SEAWIND,LORONG M TELOK KURAU,15,Non-Landed Properties,NA,"3,150",60 to 70,600 to 700,Dec-24
STRAITS RESIDENCES,JOO CHIAT PLACE,15,Non-Landed Properties,2,"2,900",40 to 50,500 to 600,Dec-24
ONE BALMORAL,BALMORAL ROAD,10,Non-Landed Properties,1,"3,650",50 to 60,500 to 600,Dec-24
OXLEY EDGE,RIVER VALLEY ROAD,09,Non-Landed Properties,1,"3,150",30 to 40,400 to 500,Dec-24
SIMS URBAN OASIS,SIMS DRIVE,14,Non-Landed Properties,3,"6,800",90 to 100,"1,000 to 1,100",Dec-24
SOMMERVILLE PARK,SOMMERVILLE ESTATE ROAD,10,Non-Landed Properties,3,"6,400",180 to 190,"1,900 to 2,000",Dec-24
AVENUE SOUTH RESIDENCE,SILAT AVENUE,03,Non-Landed Properties,1,"3,500",40 to 50,500 to 600,Dec-24
MOONSTONE RESIDENCES,MOONSTONE LANE,12,Non-Landed Properties,3,"4,500",90 to 100,"1,000 to 1,100",Dec-24
THE ARTE,JALAN RAJA UDANG,12,Non-Landed Properties,2,"4,300",90 to 100,"1,000 to 1,100",Dec-24
THE SCOTTS TOWER,SCOTTS ROAD,09,Non-Landed Properties,1,"3,900",50 to 60,600 to 700,Dec-24
PARC ESTA,SIMS AVENUE,14,Non-Landed Properties,1,"2,900",30 to 40,400 to 500,Dec-24
HAZEL PARK CONDOMINIUM,HAZEL PARK TERRACE,23,Non-Landed Properties,3,"4,000",120 to 130,"1,300 to 1,400",Dec-24
3@PHILLIPS,PHILLIPS AVENUE,19,Non-Landed Properties,2,"4,200",80 to 90,800 to 900,Dec-24
ST REGIS RESIDENCES SINGAPORE,TANGLIN ROAD,10,Non-Landed Properties,4,"21,000",360 to 370,"3,800 to 3,900",Dec-24
GUILIN VIEW,BUKIT BATOK STREET 52,23,Non-Landed Properties,4,"5,500",150 to 160,"1,700 to 1,800",Dec-24
NORTH PARK RESIDENCES,YISHUN CENTRAL 1,27,Non-Landed Properties,3,"4,900",70 to 80,800 to 900,Dec-24
8 SAINT THOMAS,ST. THOMAS WALK,09,Non-Landed Properties,4,"10,500",150 to 160,"1,600 to 1,700",Dec-24
THE VERANDAH RESIDENCES,PASIR PANJANG ROAD,05,Non-Landed Properties,1,"3,400",40 to 50,400 to 500,Dec-24
NORMANTON PARK,NORMANTON PARK,05,Non-Landed Properties,1,"3,500",50 to 60,500 to 600,Dec-24
CASA CAMBIO,LIM TUA TOW ROAD,19,Non-Landed Properties,2,"3,350",60 to 70,600 to 700,Dec-24
PINE SPRINGS,BALMORAL ROAD,10,Non-Landed Properties,3,"7,100",130 to 140,"1,400 to 1,500",Dec-24
THE LUXURIE,COMPASSVALE ROAD,19,Non-Landed Properties,2,"3,700",60 to 70,700 to 800,Dec-24
ONE HOLLAND VILLAGE RESIDENCES,HOLLAND VILLAGE WAY,10,Non-Landed Properties,2,"5,500",70 to 80,800 to 900,Dec-24
HORIZON RESIDENCES,PASIR PANJANG HILL,05,Non-Landed Properties,3,"6,400",120 to 130,"1,300 to 1,400",Dec-24
THE ESPIRA,LORONG L TELOK KURAU,15,Non-Landed Properties,3,"3,800",160 to 170,"1,700 to 1,800",Dec-24
WATERTOWN,PUNGGOL CENTRAL,19,Non-Landed Properties,1,"3,400",40 to 50,500 to 600,Dec-24
SYMPHONY SUITES,YISHUN CLOSE,27,Non-Landed Properties,3,"3,500",80 to 90,800 to 900,Dec-24
GRAY MANSIONS,GRAY LANE,15,Non-Landed Properties,NA,"4,300",110 to 120,"1,200 to 1,300",Dec-24
THE INTERLACE,DEPOT ROAD,04,Non-Landed Properties,3,"8,200",170 to 180,"1,800 to 1,900",Dec-24
SIGNATURE PARK,TOH TUCK ROAD,21,Non-Landed Properties,4,"5,500",150 to 160,"1,700 to 1,800",Dec-24
MELOSA,LORONG 28 GEYLANG,14,Non-Landed Properties,1,"2,450",40 to 50,400 to 500,Dec-24
PARVIS,HOLLAND HILL,10,Non-Landed Properties,3,"8,700",150 to 160,"1,700 to 1,800",Dec-24
ATRIUM RESIDENCES,LORONG 28 GEYLANG,14,Non-Landed Properties,3,"5,600",110 to 120,"1,200 to 1,300",Dec-24
BEDOK RESIDENCES,BEDOK NORTH DRIVE,16,Non-Landed Properties,3,"5,600",100 to 110,"1,000 to 1,100",Dec-24
EAST VILLAGE,UPPER CHANGI ROAD,16,Non-Landed Properties,2,"3,000",50 to 60,600 to 700,Dec-24
OXLEY GARDEN,OXLEY GARDEN,09,Non-Landed Properties,3,"6,000",150 to 160,"1,700 to 1,800",Dec-24
PATERSON SUITES,PATERSON ROAD,09,Non-Landed Properties,3,"11,000",160 to 170,"1,700 to 1,800",Dec-24
THE PALETTE,PASIR RIS GROVE,18,Non-Landed Properties,1,"2,800",40 to 50,500 to 600,Dec-24
SIMS URBAN OASIS,SIMS DRIVE,14,Non-Landed Properties,2,"4,000",50 to 60,600 to 700,Dec-24
THE DAIRY FARM,DAIRY FARM ROAD,23,Non-Landed Properties,2,"4,700",140 to 150,"1,500 to 1,600",Dec-24
CAMBIO SUITES,LIM TUA TOW ROAD,19,Non-Landed Properties,2,"3,400",70 to 80,800 to 900,Dec-24
THE GAZANIA,HOW SUN DRIVE,19,Non-Landed Properties,3,"5,300",80 to 90,"900 to 1,000",Dec-24
THE AXIS,MANDALAY ROAD,11,Non-Landed Properties,2,"3,800",70 to 80,800 to 900,Dec-24
GOLDENHILL PARK CONDOMINIUM,MEI HWAN DRIVE,20,Non-Landed Properties,4,"7,100",130 to 140,"1,400 to 1,500",Dec-24
THE SKYWOODS,DAIRY FARM HEIGHTS,23,Non-Landed Properties,4,"5,400",110 to 120,"1,100 to 1,200",Dec-24
THE INTERLACE,DEPOT ROAD,04,Non-Landed Properties,4,"9,200",240 to 250,"2,500 to 2,600",Dec-24
HORIZON TOWERS,LEONIE HILL,09,Non-Landed Properties,4,"8,000",220 to 230,"2,300 to 2,400",Dec-24
COSTA RHU,RHU CROSS,15,Non-Landed Properties,4,"8,450",200 to 210,"2,100 to 2,200",Dec-24
THE METZ,DEVONSHIRE ROAD,09,Non-Landed Properties,1,"4,300",50 to 60,500 to 600,Dec-24
VIVA,SUFFOLD WALK,11,Non-Landed Properties,4,"9,500",180 to 190,"1,900 to 2,000",Dec-24
BUKIT REGENCY,UPPER BUKIT TIMAH VIEW,21,Non-Landed Properties,NA,"5,500",150 to 160,"1,600 to 1,700",Dec-24
YISHUN SAPPHIRE,CANBERRA DRIVE,27,Non-Landed Properties,3,"4,000",110 to 120,"1,200 to 1,300",Dec-24
THE FLORENCE RESIDENCES,HOUGANG AVENUE 2,19,Non-Landed Properties,2,"3,400",60 to 70,600 to 700,Dec-24
THE RESIDENCES AT W SINGAPORE SENTOSA COVE,OCEAN WAY,04,Non-Landed Properties,4,"11,000",190 to 200,"2,000 to 2,100",Dec-24
SYCAMORE TREE,FOWLIE ROAD,15,Non-Landed Properties,1,"3,000",30 to 40,300 to 400,Dec-24
10 SHELFORD,SHELFORD ROAD,11,Non-Landed Properties,1,"3,000",40 to 50,400 to 500,Dec-24
THE LANAI,HILLVIEW AVENUE,23,Non-Landed Properties,4,"5,500",120 to 130,"1,300 to 1,400",Dec-24
HILLION RESIDENCES,JELEBU ROAD,23,Non-Landed Properties,NA,"3,000",40 to 50,400 to 500,Dec-24
STIRLING RESIDENCES,STIRLING ROAD,03,Non-Landed Properties,1,"4,000",40 to 50,400 to 500,Dec-24
RIVERSAILS,UPPER SERANGOON CRESCENT,19,Non-Landed Properties,2,"3,750",80 to 90,800 to 900,Dec-24
PARC RIVIERA,WEST COAST VALE,05,Non-Landed Properties,3,"5,000",80 to 90,"900 to 1,000",Dec-24
DAHLIA PARK CONDOMINIUM,FLORA DRIVE,17,Non-Landed Properties,2,"3,500",90 to 100,"1,000 to 1,100",Dec-24
MARINA BAY RESIDENCES,MARINA BOULEVARD,01,Non-Landed Properties,2,"8,500",110 to 120,"1,200 to 1,300",Dec-24
SIGLAP V,FIRST STREET,15,Non-Landed Properties,2,"3,700",100 to 110,"1,000 to 1,100",Dec-24
SEASUITES,PASIR PANJANG ROAD,05,Non-Landed Properties,1,"3,300",40 to 50,500 to 600,Dec-24
CELESTIA,JOO CHIAT TERRACE,15,Non-Landed Properties,2,"4,150",90 to 100,"1,000 to 1,100",Dec-24
THE GARDEN RESIDENCES,SERANGOON NORTH VIEW,19,Non-Landed Properties,2,"3,400",50 to 60,600 to 700,Dec-24
COCO PALMS,PASIR RIS GROVE,18,Non-Landed Properties,1,"2,900",40 to 50,400 to 500,Dec-24
SOLEIL @ SINARAN,SINARAN DRIVE,11,Non-Landed Properties,2,"5,800",80 to 90,"900 to 1,000",Dec-24
ELLIOT AT THE EAST COAST,ELLIOT ROAD,15,Non-Landed Properties,3,"5,200",120 to 130,"1,300 to 1,400",Dec-24
BAYSHORE PARK,BAYSHORE ROAD,16,Non-Landed Properties,2,"3,500",80 to 90,"900 to 1,000",Dec-24
HILLVIEW GREEN,HUME AVENUE,21,Non-Landed Properties,4,"5,400",160 to 170,"1,700 to 1,800",Dec-24
ADAM PARK CONDOMINIUM,ADAM ROAD,11,Non-Landed Properties,2,"4,400",80 to 90,"900 to 1,000",Dec-24
PARK PLACE RESIDENCES AT PLQ,PAYA LEBAR ROAD,14,Non-Landed Properties,1,"3,700",40 to 50,400 to 500,Dec-24
BREEZE BY THE EAST,UPPER EAST COAST ROAD,16,Non-Landed Properties,2,"4,200",110 to 120,"1,200 to 1,300",Dec-24
KIM SIA COURT,JALAN JINTAN,09,Non-Landed Properties,3,"5,300",120 to 130,"1,300 to 1,400",Dec-24
ALLSWORTH PARK,HOLLAND ROAD,10,Non-Landed Properties,2,"3,600",90 to 100,"900 to 1,000",Dec-24
MARINA ONE RESIDENCES,MARINA WAY,01,Non-Landed Properties,3,"10,000",140 to 150,"1,500 to 1,600",Dec-24
RIDGEWOOD,RIDGEWOOD CLOSE,10,Non-Landed Properties,3,"5,200",130 to 140,"1,400 to 1,500",Dec-24
GRANDEUR PARK RESIDENCES,BEDOK SOUTH AVENUE 3,16,Non-Landed Properties,2,"3,800",60 to 70,600 to 700,Dec-24
COCO PALMS,PASIR RIS GROVE,18,Non-Landed Properties,2,"3,500",70 to 80,700 to 800,Dec-24
CASTLE GREEN,YIO CHU KANG ROAD,26,Non-Landed Properties,2,"3,800",80 to 90,"900 to 1,000",Dec-24
18 WOODSVILLE,WOODSVILLE CLOSE,13,Non-Landed Properties,2,"3,800",60 to 70,700 to 800,Dec-24
FORETT@BUKIT TIMAH,TOH TUCK ROAD,21,Non-Landed Properties,NA,"3,600",50 to 60,500 to 600,Dec-24
THE TREVOSE,TREVOSE CRESCENT,11,Non-Landed Properties,3,"5,800",120 to 130,"1,300 to 1,400",Dec-24
HYLL ON HOLLAND,HOLLAND ROAD,10,Non-Landed Properties,2,"4,000",50 to 60,500 to 600,Dec-24
THE MKZ,MACKENZIE ROAD,09,Non-Landed Properties,3,"5,000",60 to 70,700 to 800,Dec-24
THE GARDEN RESIDENCES,SERANGOON NORTH VIEW,19,Non-Landed Properties,1,"2,800",40 to 50,400 to 500,Dec-24
THE VERVE,JALAN RAJAH,12,Non-Landed Properties,1,"3,000",50 to 60,600 to 700,Dec-24
THE QUAYSIDE,ROBERTSON QUAY,09,Non-Landed Properties,3,"7,500",120 to 130,"1,300 to 1,400",Dec-24
SKY VUE,BISHAN STREET 15,20,Non-Landed Properties,2,"4,450",70 to 80,700 to 800,Dec-24
THE AVENIR,RIVER VALLEY CLOSE,09,Non-Landed Properties,NA,"4,200",50 to 60,500 to 600,Dec-24
TANAH MERAH MANSION,TANAH MERAH KECHIL ROAD SOUTH,16,Non-Landed Properties,2,"2,800",90 to 100,"900 to 1,000",Dec-24
HIGH PARK RESIDENCES,FERNVALE ROAD,28,Non-Landed Properties,NA,"2,350",30 to 40,300 to 400,Dec-24
THE M,MIDDLE ROAD,07,Non-Landed Properties,1,"3,700",40 to 50,400 to 500,Dec-24
70@TRURO,TRURO ROAD,08,Non-Landed Properties,3,"4,300",70 to 80,800 to 900,Dec-24
THE TRUMPS,JALAN KEMBANGAN,14,Non-Landed Properties,3,"5,000",120 to 130,"1,300 to 1,400",Dec-24
PARK PLACE RESIDENCES AT PLQ,PAYA LEBAR ROAD,14,Non-Landed Properties,3,"6,500",100 to 110,"1,100 to 1,200",Dec-24
PARC RIVIERA,WEST COAST VALE,05,Non-Landed Properties,2,"4,000",60 to 70,700 to 800,Dec-24
CITYVISTA RESIDENCES,PECK HAY ROAD,09,Non-Landed Properties,3,"9,000",190 to 200,"2,100 to 2,200",Dec-24
PARK PLACE RESIDENCES AT PLQ,PAYA LEBAR ROAD,14,Non-Landed Properties,2,"4,900",60 to 70,600 to 700,Dec-24
THE GARDEN RESIDENCES,SERANGOON NORTH VIEW,19,Non-Landed Properties,2,"4,000",60 to 70,600 to 700,Dec-24
SKYSUITES@ANSON,ENGGOR STREET,02,Non-Landed Properties,1,"3,600",30 to 40,300 to 400,Dec-24
SOHO 188,RACE COURSE ROAD,08,Non-Landed Properties,1,"3,100",50 to 60,500 to 600,Dec-24
COMMONWEALTH TOWERS,COMMONWEALTH AVENUE,03,Non-Landed Properties,1,"3,360",40 to 50,400 to 500,Dec-24
THE GARDEN RESIDENCES,SERANGOON NORTH VIEW,19,Non-Landed Properties,3,"4,200",70 to 80,700 to 800,Dec-24
CLAVON,CLEMENTI AVENUE 1,05,Non-Landed Properties,2,"4,300",70 to 80,700 to 800,Dec-24
D'NEST,PASIR RIS GROVE,18,Non-Landed Properties,3,"4,000",80 to 90,"900 to 1,000",Dec-24
ARTRA,ALEXANDRA VIEW,03,Non-Landed Properties,2,"6,100",70 to 80,800 to 900,Dec-24
WATER PLACE,TANJONG RHU ROAD,15,Non-Landed Properties,3,"7,000",120 to 130,"1,300 to 1,400",Dec-24
HARBOUR SUITES,KAMPONG BAHRU ROAD,04,Non-Landed Properties,2,"3,200",50 to 60,600 to 700,Dec-24
JADE RESIDENCES,LEW LIAN VALE,19,Non-Landed Properties,3,"3,650",60 to 70,700 to 800,Dec-24
ELIZABETH HEIGHTS,CAIRNHILL ROAD,09,Non-Landed Properties,4,"8,500",230 to 240,"2,500 to 2,600",Dec-24
THE TRUMPS,JALAN KEMBANGAN,14,Non-Landed Properties,3,"5,400",110 to 120,"1,200 to 1,300",Dec-24
BEACON HEIGHTS,MAR THOMA ROAD,12,Non-Landed Properties,2,"4,200",80 to 90,800 to 900,Dec-24
PINE GROVE,PINE GROVE,21,Non-Landed Properties,NA,"5,800",140 to 150,"1,500 to 1,600",Dec-24
STIRLING RESIDENCES,STIRLING ROAD,03,Non-Landed Properties,3,"6,800",90 to 100,"900 to 1,000",Dec-24
SPACE @ KOVAN,YIO CHU KANG ROAD,19,Non-Landed Properties,1,"2,550",30 to 40,400 to 500,Dec-24
AVENUE SOUTH RESIDENCE,SILAT AVENUE,03,Non-Landed Properties,1,"4,000",40 to 50,500 to 600,Dec-24
SHERWOOD CONDOMINIUM,JALAN JURONG KECHIL,21,Non-Landed Properties,2,"3,300",80 to 90,800 to 900,Dec-24
H2O RESIDENCES,FERNVALE LINK,28,Non-Landed Properties,3,"4,600",110 to 120,"1,100 to 1,200",Dec-24
REGENT HEIGHTS,BUKIT BATOK EAST AVENUE 5,23,Non-Landed Properties,2,"3,600",90 to 100,"1,000 to 1,100",Dec-24
STIRLING RESIDENCES,STIRLING ROAD,03,Non-Landed Properties,2,"4,400",60 to 70,600 to 700,Dec-24
THE BAYSHORE,BAYSHORE ROAD,16,Non-Landed Properties,2,"3,800",90 to 100,"1,000 to 1,100",Dec-24
AMBERGLADES,AMBER GARDENS,15,Non-Landed Properties,NA,"5,150",110 to 120,"1,200 to 1,300",Dec-24
GOLDENHILL PARK CONDOMINIUM,MEI HWAN DRIVE,20,Non-Landed Properties,4,"5,800",140 to 150,"1,500 to 1,600",Dec-24
WATERTOWN,PUNGGOL CENTRAL,19,Non-Landed Properties,2,"3,700",70 to 80,800 to 900,Dec-24
D'LEEDON,LEEDON HEIGHTS,10,Non-Landed Properties,1,"4,100",50 to 60,600 to 700,Dec-24
CHANCERY COURT,DUNEARN ROAD,11,Non-Landed Properties,NA,"4,150",70 to 80,800 to 900,Dec-24
SPRINGDALE CONDOMINIUM,HINDHEDE WALK,21,Non-Landed Properties,2,"3,400",80 to 90,"900 to 1,000",Dec-24
NOVENA REGENCY,THOMSON ROAD,11,Non-Landed Properties,2,"4,000",50 to 60,500 to 600,Dec-24
CUSCADEN RESERVE,CUSCADEN ROAD,10,Non-Landed Properties,2,"8,800",80 to 90,"900 to 1,000",Dec-24
THE JADE,BUKIT BATOK CENTRAL LINK,23,Non-Landed Properties,2,"4,000",90 to 100,"1,000 to 1,100",Dec-24
RV RESIDENCES,RIVER VALLEY ROAD,10,Non-Landed Properties,1,"3,750",30 to 40,400 to 500,Dec-24
CHANCERY ESQUIRE,CHANCERY LANE,11,Non-Landed Properties,3,"4,300",110 to 120,"1,200 to 1,300",Dec-24
GALLOP COURT,GALLOP ROAD,10,Non-Landed Properties,3,"8,200",180 to 190,"1,900 to 2,000",Dec-24
KANDIS RESIDENCE,KANDIS LINK,27,Non-Landed Properties,2,"3,200",70 to 80,800 to 900,Dec-24
KOVAN REGENCY,KOVAN RISE,19,Non-Landed Properties,1,"2,900",40 to 50,500 to 600,Dec-24
ARTRA,ALEXANDRA VIEW,03,Non-Landed Properties,2,"6,200",70 to 80,800 to 900,Dec-24
STRATUM,ELIAS ROAD,18,Non-Landed Properties,4,"6,500",160 to 170,"1,800 to 1,900",Dec-24
WATERFRONT GOLD,BEDOK RESERVOIR ROAD,16,Non-Landed Properties,3,"4,600",90 to 100,"1,000 to 1,100",Dec-24
THE PALLADIUM,BROOKE ROAD,15,Non-Landed Properties,2,"4,500",70 to 80,800 to 900,Dec-24
NEWTON GEMS,NEWTON ROAD,11,Non-Landed Properties,4,"7,400",150 to 160,"1,700 to 1,800",Dec-24
SUITES @ EASTCOAST,UPPER EAST COAST ROAD,15,Non-Landed Properties,NA,"1,900",30 to 40,300 to 400,Dec-24
THE MINTON,HOUGANG STREET 11,19,Non-Landed Properties,3,"4,800",110 to 120,"1,200 to 1,300",Dec-24
THE LEGEND,BUKIT TIMAH ROAD,10,Non-Landed Properties,2,"5,500",110 to 120,"1,200 to 1,300",Dec-24
A TREASURE TROVE,PUNGGOL WALK,19,Non-Landed Properties,3,"4,300",90 to 100,"1,000 to 1,100",Dec-24
ASTON MANSIONS,LORONG 42 GEYLANG,14,Non-Landed Properties,3,"4,600",110 to 120,"1,200 to 1,300",Dec-24
ECO,BEDOK SOUTH AVENUE 3,16,Non-Landed Properties,1,"3,250",60 to 70,700 to 800,Dec-24
PARC CLEMATIS,JALAN LEMPENG,05,Non-Landed Properties,3,"5,660",70 to 80,800 to 900,Dec-24
NON-LANDED HOUSING DEVELOPMENT,PENHAS ROAD,08,Non-Landed Properties,NA,"3,600",100 to 110,"1,100 to 1,200",Dec-24
NEWTON SUITES,NEWTON ROAD,11,Non-Landed Properties,2,"4,900",60 to 70,600 to 700,Dec-24
THE CLIFT,MCCALLUM STREET,01,Non-Landed Properties,1,"4,200",40 to 50,400 to 500,Dec-24
PALM ISLES,FLORA DRIVE,17,Non-Landed Properties,3,"3,500",90 to 100,"900 to 1,000",Dec-24
NORTHVALE,CHOA CHU KANG LOOP,23,Non-Landed Properties,1,"2,250",60 to 70,700 to 800,Dec-24
RIVER PLACE,HAVELOCK ROAD,03,Non-Landed Properties,1,"3,700",70 to 80,700 to 800,Dec-24
SOUTHAVEN II,HINDHEDE WALK,21,Non-Landed Properties,3,"4,000",140 to 150,"1,500 to 1,600",Dec-24
SEASONS VIEW,PEMIMPIN DRIVE,20,Non-Landed Properties,3,"3,700",100 to 110,"1,100 to 1,200",Dec-24
YISHUN EMERALD,CANBERRA DRIVE,27,Non-Landed Properties,2,"3,200",90 to 100,"900 to 1,000",Dec-24
PLATINUM EDGE,LEICESTER ROAD,13,Non-Landed Properties,3,"4,600",90 to 100,"1,000 to 1,100",Dec-24
SPOTTISWOODE SUITES,SPOTTISWOODE PARK ROAD,02,Non-Landed Properties,2,"4,300",50 to 60,500 to 600,Dec-24
KASTURINA LODGE,KAY POH ROAD,10,Non-Landed Properties,2,"3,500",70 to 80,700 to 800,Dec-24
SEASIDE RESIDENCES,SIGLAP LINK,15,Non-Landed Properties,1,"3,900",50 to 60,500 to 600,Dec-24
SUMMERHILL,HUME AVENUE,21,Non-Landed Properties,3,"4,200",110 to 120,"1,200 to 1,300",Dec-24
THE SAIL @ MARINA BAY,MARINA BOULEVARD,01,Non-Landed Properties,1,"4,300",60 to 70,600 to 700,Dec-24
