Project Name,Street Name,Postal District,Property Type,No of Bedroom,Monthly Rent ($),Floor Area (SQM),Floor Area (SQFT),Lease Commencement Date
ALANA,SUNRISE TERRACE,28,Terrace House,NA,"7,850",250 to 300,"3,000 to 3,500",Dec-24
HILLVIEW VILLAS,HILLVIEW CRESCENT,23,Terrace House,NA,"6,200",200 to 250,"2,500 to 3,000",Dec-24
HOLLAND GARDENS,MOONBEAM TERRACE,10,Semi-Detached House,NA,"9,800",200 to 250,"2,000 to 2,500",Dec-24
LIAN VILLAS,EAST COAST AVENUE,15,Terrace House,NA,"11,105",300 to 350,"3,500 to 4,000",Dec-24
GREENWOOD MEWS,GREENWOOD AVENUE,11,Terrace House,NA,"10,300",250 to 300,"2,500 to 3,000",Dec-24
SENNETT ESTATE,JALAN WANGI,13,Terrace House,NA,"6,500",150 to 200,"1,500 to 2,000",Dec-24
EAST COAST PARK,SIGLAP ROAD,15,Terrace House,NA,"5,600",100 to 150,"1,000 to 1,500",Dec-24
GREENWOOD MEWS,GREENWOOD AVENUE,11,Terrace House,NA,"10,750",250 to 300,"2,500 to 3,000",Dec-24
LANDED HOUSING DEVELOPMENT,LUCKY VIEW,16,Semi-Detached House,NA,"16,500",350 to 400,"3,500 to 4,000",Dec-24
LANDED HOUSING DEVELOPMENT,NAMLY CRESCENT,10,Detached House,NA,"15,300",450 to 500,"4,500 to 5,000",Dec-24
LANDED HOUSING DEVELOPMENT,BARKER ROAD,11,Terrace House,NA,"8,244",150 to 200,"1,500 to 2,000",Dec-24
SELETAR HILLS ESTATE,JALAN KECHUBONG,28,Detached House,NA,"5,000",50 to 100,"1,000 to 1,500",Dec-24
BURGUNDY HILL,BURGUNDY CRESCENT,23,Semi-Detached House,NA,"7,000",250 to 300,"2,500 to 3,000",Dec-24
BEDOKVILLE,JALAN LIMAU NIPIS,16,Semi-Detached House,NA,"5,300",200 to 250,"2,000 to 2,500",Dec-24
LENTOR VIEW,LENTOR PLACE,26,Terrace House,NA,"5,000",200 to 250,"2,000 to 2,500",Dec-24
VISTA GARDEN,TOH TUCK PLACE,21,Terrace House,NA,"5,300",150 to 200,"1,500 to 2,000",Dec-24
LANDED HOUSING DEVELOPMENT,CHANCERY LANE,11,Detached House,NA,"18,000",400 to 450,"4,000 to 4,500",Dec-24
MIRAMAR GARDENS,JALAN NAUNG,19,Terrace House,NA,"5,800",150 to 200,"1,500 to 2,000",Dec-24
THOMSON GARDEN ESTATE,JALAN HARI RAYA,20,Terrace House,NA,"4,500",100 to 150,"1,500 to 2,000",Dec-24
MANDARIN PARK,CHUN TIN ROAD,21,Semi-Detached House,NA,"8,500",200 to 250,"2,000 to 2,500",Dec-24
FRANKEL ESTATE,SIGLAP ROAD,15,Semi-Detached House,NA,"6,100",150 to 200,"1,500 to 2,000",Dec-24
LANDED HOUSING DEVELOPMENT,CEDAR AVENUE,13,Terrace House,NA,"9,400",200 to 250,"2,000 to 2,500",Dec-24
LANDED HOUSING DEVELOPMENT,GARLICK AVENUE,10,Detached House,NA,"70,000","1,250 to 1,300","13,500 to 14,000",Dec-24
KENT RIDGE HILL RESIDENCES,SOUTH BUONA VISTA ROAD,05,Semi-Detached House,NA,"9,200",150 to 200,"1,500 to 2,000",Dec-24
MING TECK PARK,SIXTH AVENUE,10,Semi-Detached House,NA,"9,500",200 to 250,"2,000 to 2,500",Dec-24
STRAITS GARDENS,ANDREWS TERRACE,27,Terrace House,NA,"6,280",200 to 250,"2,000 to 2,500",Dec-24
HILLCREST VILLA,HILLCREST ROAD,11,Terrace House,NA,"10,800",250 to 300,"3,000 to 3,500",Dec-24
CABANA,SUNRISE TERRACE,28,Terrace House,NA,"7,200",250 to 300,"2,500 to 3,000",Dec-24
LANDED HOUSING DEVELOPMENT,EVERITT ROAD,15,Terrace House,NA,"5,694",150 to 200,"1,500 to 2,000",Dec-24
LA SUISSE,SWISS VIEW,11,Terrace House,NA,"12,000",250 to 300,"2,500 to 3,000",Dec-24
LA QUINTA PARK,CHUAN WALK,19,Terrace House,NA,"7,000",200 to 250,"2,000 to 2,500",Dec-24
CAPITOL PARK,JALAN SEJARAH,11,Semi-Detached House,NA,"9,500",300 to 350,"3,000 to 3,500",Dec-24
FRANKEL ESTATE,FRANKEL AVENUE,15,Semi-Detached House,NA,"8,200",200 to 250,"2,000 to 2,500",Dec-24
GILSTEAD 68,GILSTEAD ROAD,11,Semi-Detached House,NA,"11,000",300 to 350,"3,500 to 4,000",Dec-24
ALANA,SUNRISE TERRACE,28,Terrace House,NA,"8,028",250 to 300,"3,000 to 3,500",Dec-24
BRADDELL HEIGHTS ESTATE,DUNSFOLD DRIVE,13,Detached House,NA,"17,900",300 to 350,"3,000 to 3,500",Dec-24
LANDED HOUSING DEVELOPMENT,JALAN HIKAYAT,27,Detached House,NA,"8,800",350 to 400,"4,000 to 4,500",Dec-24
LANDED HOUSING DEVELOPMENT,CORONATION ROAD WEST,10,Semi-Detached House,NA,"9,000",250 to 300,"2,500 to 3,000",Dec-24
SERANGOON GARDEN ESTATE,CHARTWELL DRIVE,19,Semi-Detached House,NA,"16,000",300 to 350,"3,500 to 4,000",Dec-24
CASTELLO,CHILTERN DRIVE,13,Detached House,NA,"11,800",350 to 400,"3,500 to 4,000",Dec-24
PARRY PARK,PARRY WALK,19,Terrace House,NA,"7,000",200 to 250,"2,000 to 2,500",Dec-24
ALLSWORTH PARK,HOLLAND ROAD,10,Terrace House,NA,"8,500",200 to 250,"2,000 to 2,500",Dec-24
WEST COAST VIEW,WEST COAST VIEW,05,Terrace House,NA,"4,200",100 to 150,"1,500 to 2,000",Dec-24
LENTOR VIEW,LENTOR PLACE,26,Terrace House,NA,"6,000",150 to 200,"2,000 to 2,500",Dec-24
CAPITOL PARK,UNIVERSITY ROAD,11,Semi-Detached House,NA,"11,000",250 to 300,"2,500 to 3,000",Dec-24
TOWNER VILLE,TOWNER ROAD,12,Terrace House,NA,"5,300",100 to 150,"1,500 to 2,000",Dec-24
LANDED HOUSING DEVELOPMENT,SEA BREEZE AVENUE,16,Terrace House,NA,"6,000",250 to 300,"3,000 to 3,500",Dec-24
LANDED HOUSING DEVELOPMENT,COTSWOLD CLOSE,13,Detached House,NA,"20,000",400 to 450,"4,500 to 5,000",Dec-24
KEW PLACE,SALAM WALK,16,Terrace House,NA,"5,300",150 to 200,"2,000 to 2,500",Dec-24
HENRY PARK,GROVE DRIVE,10,Terrace House,NA,"6,000",150 to 200,"1,500 to 2,000",Dec-24
TAI HWAN GARDEN,TAI HWAN PLACE,19,Terrace House,NA,"7,000",200 to 250,"2,500 to 3,000",Dec-24
TOWNER VILLE,MCNAIR ROAD,12,Terrace House,NA,"7,200",200 to 250,"2,000 to 2,500",Dec-24
DUNMAN GROVE,DUNMAN ROAD,15,Terrace House,NA,"5,800",200 to 250,"2,500 to 3,000",Dec-24
LANDED HOUSING DEVELOPMENT,FLOWER ROAD,19,Semi-Detached House,NA,"6,500",150 to 200,"1,500 to 2,000",Dec-24
LANDED HOUSING DEVELOPMENT,LORONG GAMBIR,19,Terrace House,NA,"7,000",150 to 200,"1,500 to 2,000",Dec-24
LANDED HOUSING DEVELOPMENT,MUSWELL HILL,13,Detached House,NA,"22,500",550 to 600,"5,500 to 6,000",Dec-24
LANDED HOUSING DEVELOPMENT,POOLE ROAD,15,Semi-Detached House,NA,"10,800",300 to 350,"3,500 to 4,000",Dec-24
MERA TERRACE,SEAGULL WALK,16,Terrace House,NA,"4,500",200 to 250,"2,000 to 2,500",Dec-24
GOLDLEAF GARDENS,LORONG M TELOK KURAU,15,Terrace House,NA,"7,300",200 to 250,"2,000 to 2,500",Dec-24
D'MANOR,TANAH MERAH KECHIL AVENUE,16,Terrace House,NA,"6,200",250 to 300,"2,500 to 3,000",Dec-24
LANDED HOUSING DEVELOPMENT,ARTHUR ROAD,15,Detached House,NA,"11,800",450 to 500,"4,500 to 5,000",Dec-24
BRENTWOOD,LLOYD ROAD,09,Terrace House,NA,"11,000",150 to 200,"2,000 to 2,500",Dec-24
WILKINSON 8,WILKINSON ROAD,15,Detached House,NA,"10,500",200 to 250,"2,000 to 2,500",Dec-24
TEACHER'S HOUSING ESTATE,KALIDASA AVENUE,26,Terrace House,NA,"4,200",100 to 150,"1,000 to 1,500",Dec-24
LANDED HOUSING DEVELOPMENT,JALAN LIM TAI SEE,10,Terrace House,NA,"9,000",200 to 250,"2,000 to 2,500",Dec-24
GREENWOOD MEWS,GREENWOOD AVENUE,11,Terrace House,NA,"10,600",250 to 300,"3,000 to 3,500",Dec-24
SARACA GARDENS,SARACA WALK,28,Semi-Detached House,NA,"6,800",250 to 300,"2,500 to 3,000",Dec-24
SERANGOON PARK,WOLSKEL ROAD,13,Terrace House,NA,"8,000",200 to 250,"2,000 to 2,500",Dec-24
LANDED HOUSING DEVELOPMENT,MELROSE DRIVE/SERANGOON AVENUE 3,13,Detached House,NA,"15,700",350 to 400,"4,000 to 4,500",Dec-24
LANDED HOUSING DEVELOPMENT,ANDREWS AVENUE,27,Terrace House,NA,"6,500",250 to 300,"3,000 to 3,500",Dec-24
MACPHERSON GARDEN ESTATE,JALAN KEMAJUAN,13,Terrace House,NA,"4,800",50 to 100,"1,000 to 1,500",Dec-24
HORIZON GARDENS,ANG MO KIO AVENUE 2,20,Terrace House,NA,"6,200",250 to 300,"2,500 to 3,000",Dec-24
SHAMROCK PARK,NAMLY DRIVE,10,Semi-Detached House,NA,"13,000",250 to 300,"2,500 to 3,000",Dec-24
FLORIDA PARK,SUNRISE AVENUE,28,Semi-Detached House,NA,"4,800",200 to 250,"2,000 to 2,500",Dec-24
THE WOODS,WESTWOOD AVENUE,22,Terrace House,NA,"6,600",350 to 400,"4,000 to 4,500",Dec-24
HILLCREST PARK,GREENWOOD AVENUE,11,Semi-Detached House,NA,"6,500",100 to 150,"1,000 to 1,500",Dec-24
SERANGOON PARK,WOLSKEL ROAD,13,Terrace House,NA,"4,500",100 to 150,"1,000 to 1,500",Dec-24
SELETAR HILLS ESTATE,JALAN LEBAT DAUN,28,Semi-Detached House,NA,"6,800",150 to 200,"1,500 to 2,000",Dec-24
CHANGI GROVE,MARIAM CLOSE,17,Detached House,NA,"8,000",100 to 150,"1,500 to 2,000",Dec-24
BARTLEY RISE ESTATE,SUNSHINE TERRACE,19,Terrace House,NA,"5,500",150 to 200,"1,500 to 2,000",Dec-24
BINJAI CREST,JALAN KAMPONG CHANTEK,21,Terrace House,NA,"8,000",200 to 250,"2,500 to 3,000",Dec-24
COMFORT GARDEN,HONG SAN WALK,23,Terrace House,NA,"5,500",200 to 250,"2,500 to 3,000",Dec-24
SERANGOON GARDEN ESTATE,WORTHING ROAD,19,Terrace House,NA,"5,300",100 to 150,"1,000 to 1,500",Dec-24
SEA VIEW PARK,JALAN SEAVIEW,15,Semi-Detached House,NA,"7,300",150 to 200,"1,500 to 2,000",Dec-24
KIM LIN PARK,JALAN KELAWAR,10,Semi-Detached House,NA,"11,000",200 to 250,"2,000 to 2,500",Dec-24
FABER HILLS,FABER WALK,05,Semi-Detached House,NA,"10,500",250 to 300,"2,500 to 3,000",Dec-24
THOMSON GARDEN ESTATE,JALAN HARI RAYA,20,Terrace House,NA,"6,000",50 to 100,"1,000 to 1,500",Dec-24
SEMBAWANG HILLS ESTATE,JALAN GELENGGANG,20,Terrace House,NA,"4,500",150 to 200,"1,500 to 2,000",Dec-24
WEST POINT PEARL GARDEN,WEST COAST ROAD,05,Semi-Detached House,NA,"6,300",250 to 300,"2,500 to 3,000",Dec-24
SPRING PARK ESTATE,PRIMROSE AVENUE,16,Terrace House,NA,"4,800",100 to 150,"1,000 to 1,500",Dec-24
SENNETT ESTATE,MULBERRY AVENUE,13,Terrace House,NA,"5,800",100 to 150,"1,000 to 1,500",Dec-24
RESIDENCES AT EMERALD HILL,EMERALD HILL ROAD,09,Terrace House,NA,"18,000",500 to 550,"5,500 to 6,000",Dec-24
ASIMONT VILLAS,ASIMONT LANE,11,Terrace House,NA,"11,000",300 to 350,"3,500 to 4,000",Dec-24
PEOPLE'S GARDEN,LORONG 7 REALTY PARK,19,Terrace House,NA,"6,700",150 to 200,"1,500 to 2,000",Dec-24
TOWNER VILLE,MCNAIR ROAD,12,Terrace House,NA,"7,200",150 to 200,"1,500 to 2,000",Dec-24
CHANGI HEIGHTS,JALAN SINAR BULAN,17,Terrace House,NA,"6,500",200 to 250,"2,000 to 2,500",Dec-24
PASIR PANJANG GARDENS,TAMAN MAS MERAH,05,Terrace House,NA,"7,600",250 to 300,"3,000 to 3,500",Dec-24
FABER HILLS,FABER DRIVE,05,Terrace House,NA,"8,500",200 to 250,"2,500 to 3,000",Dec-24
CAIRNHILL CONSERVATION AREA,CAIRNHILL ROAD,09,Terrace House,NA,"18,000",350 to 400,"3,500 to 4,000",Dec-24
OPERA ESTATE,SWAN LAKE AVENUE,15,Terrace House,NA,"5,250",100 to 150,"1,500 to 2,000",Dec-24
MANDARIN PARK,CHUN TIN ROAD,21,Semi-Detached House,NA,"5,800",150 to 200,"2,000 to 2,500",Dec-24
CLEMENTI PARK,SUNSET SQUARE,21,Detached House,NA,"11,500",250 to 300,"3,000 to 3,500",Dec-24
KIMSIA PARK,JALAN JINTAN,09,Terrace House,NA,"8,000",150 to 200,"1,500 to 2,000",Dec-24
LANDED HOUSING DEVELOPMENT,LORNIE ROAD,11,Detached House,NA,"13,500",350 to 400,"4,000 to 4,500",Dec-24
LANDED HOUSING DEVELOPMENT,FORD AVENUE,10,Detached House,NA,"40,000","950 to 1,000","10,500 to 11,000",Dec-24
LANDED HOUSING DEVELOPMENT,COUNTRYSIDE ROAD,26,Semi-Detached House,NA,"6,600",250 to 300,"3,000 to 3,500",Dec-24
LANDED HOUSING DEVELOPMENT,TUDOR CLOSE,11,Detached House,NA,"20,000",800 to 850,"8,500 to 9,000",Dec-24
LANDED HOUSING DEVELOPMENT,NAROOMA ROAD,11,Detached House,NA,"15,000",350 to 400,"4,000 to 4,500",Dec-24
LANDED HOUSING DEVELOPMENT,JALAN TUPAI,10,Terrace House,NA,"8,800",200 to 250,"2,000 to 2,500",Dec-24
LANDED HOUSING DEVELOPMENT,BOSCOMBE ROAD,15,Semi-Detached House,NA,"9,400",250 to 300,"3,000 to 3,500",Dec-24
LANDED HOUSING DEVELOPMENT,DUNSFOLD DRIVE,13,Detached House,NA,"18,500",350 to 400,"4,000 to 4,500",Dec-24
LANDED HOUSING DEVELOPMENT,NAMLY GARDEN,10,Semi-Detached House,NA,"9,100",200 to 250,"2,000 to 2,500",Dec-24
LANDED HOUSING DEVELOPMENT,MARIAM WAY,17,Terrace House,NA,"5,500",200 to 250,"2,000 to 2,500",Dec-24
LANDED HOUSING DEVELOPMENT,OAKWOOD GROVE,25,Detached House,NA,"13,000",550 to 600,"5,500 to 6,000",Dec-24
LANDED HOUSING DEVELOPMENT,ST. XAVIER'S LANE,19,Terrace House,NA,"6,000",150 to 200,"1,500 to 2,000",Dec-24
LANDED HOUSING DEVELOPMENT,HUA GUAN AVENUE,21,Detached House,NA,"13,500",300 to 350,"3,500 to 4,000",Dec-24
LANDED HOUSING DEVELOPMENT,LEWIS ROAD,10,Detached House,NA,"9,000",250 to 300,"3,000 to 3,500",Dec-24
LANDED HOUSING DEVELOPMENT,WATTEN CLOSE,11,Semi-Detached House,NA,"15,500",400 to 450,"4,500 to 5,000",Dec-24
LANDED HOUSING DEVELOPMENT,GREENLEAF PLACE,10,Semi-Detached House,NA,"15,000",350 to 400,"3,500 to 4,000",Dec-24
LANDED HOUSING DEVELOPMENT,LORONG H TELOK KURAU,15,Semi-Detached House,NA,"5,500",250 to 300,"3,000 to 3,500",Dec-24
LANDED HOUSING DEVELOPMENT,SURIN AVENUE,19,Semi-Detached House,NA,"9,000",300 to 350,"3,000 to 3,500",Dec-24
LANDED HOUSING DEVELOPMENT,KEW DRIVE,16,Terrace House,NA,"6,800",200 to 250,"2,500 to 3,000",Dec-24
LANDED HOUSING DEVELOPMENT,GRANGE ROAD,10,Detached House,NA,"42,500",700 to 750,"7,500 to 8,000",Dec-24
CAIRNHILL CONSERVATION AREA,CAIRNHILL ROAD,09,Terrace House,NA,"17,000",350 to 400,"3,500 to 4,000",Dec-24
CHIP THYE GARDEN,YIO CHU KANG GARDENS,20,Terrace House,NA,"6,500",150 to 200,"1,500 to 2,000",Dec-24
SPRINGHILL,SEMBAWANG WALK,27,Terrace House,NA,"6,800",200 to 250,"2,500 to 3,000",Dec-24
MOUNT SINAI,MOUNT SINAI DRIVE,10,Semi-Detached House,NA,"11,500",350 to 400,"4,000 to 4,500",Dec-24
MIMOSA VILLAS,MIMOSA WALK,28,Semi-Detached House,NA,"11,000",350 to 400,"3,500 to 4,000",Dec-24
PASIR RIS BEACH PARK,PASIR RIS TERRACE,18,Terrace House,NA,"7,400",250 to 300,"3,000 to 3,500",Dec-24
WATTEN ESTATE,WATTEN DRIVE,11,Terrace House,NA,"10,500",300 to 350,"3,000 to 3,500",Dec-24
BEDOK PARK,LIMAU GARDEN,16,Semi-Detached House,NA,"6,800",200 to 250,"2,000 to 2,500",Dec-24
BINJAI PARK,BINJAI WALK,21,Detached House,NA,"16,000",250 to 300,"3,000 to 3,500",Dec-24
HOLLAND GROVE,HOLLAND GROVE VIEW,10,Semi-Detached House,NA,"8,500",250 to 300,"2,500 to 3,000",Dec-24
BINJAI PARK,BINJAI PARK,21,Detached House,NA,"18,000",500 to 550,"5,000 to 5,500",Dec-24
TECK HIANG GARDENS,TOH TUCK ROAD,21,Terrace House,NA,"6,700",200 to 250,"2,000 to 2,500",Dec-24
LORNIE 18,LORNIE ROAD,11,Detached House,NA,"15,500",450 to 500,"4,500 to 5,000",Dec-24
CHARLTON RESIDENCES,CHARLTON ROAD,19,Terrace House,NA,"8,000",300 to 350,"3,500 to 4,000",Dec-24
THE SHAUGHNESSY,MILTONIA CLOSE,27,Terrace House,NA,"8,000",150 to 200,"2,000 to 2,500",Dec-24
MANDARIN PARK,LORONG PISANG EMAS,21,Semi-Detached House,NA,"6,000",200 to 250,"2,500 to 3,000",Dec-24
MING TECK PARK,SIXTH AVENUE,10,Terrace House,NA,"8,100",250 to 300,"2,500 to 3,000",Dec-24
MOUNT ECHO PARK,MOUNT ECHO PARK,10,Detached House,NA,"28,000",450 to 500,"4,500 to 5,000",Dec-24
GARDEN VIEW ESTATE,CONWAY CIRCLE,19,Terrace House,NA,"9,700",200 to 250,"2,000 to 2,500",Dec-24
LANDED HOUSING DEVELOPMENT,NALLUR ROAD,15,Terrace House,NA,"8,500",200 to 250,"2,000 to 2,500",Dec-24
LANDED HOUSING DEVELOPMENT,KUO CHUAN AVENUE,15,Semi-Detached House,NA,"4,969",100 to 150,"1,000 to 1,500",Dec-24
WOODGROVE ESTATE,ASHWOOD GROVE/WOODLANDS STREET 41,25,Detached House,NA,"13,200",600 to 650,"6,500 to 7,000",Dec-24
THE GREENWOOD,GREENWOOD AVENUE,11,Terrace House,NA,"9,200",200 to 250,"2,000 to 2,500",Dec-24
MANDARIN PARK,CHUN TIN ROAD,21,Semi-Detached House,NA,"9,000",200 to 250,"2,000 to 2,500",Dec-24
MIMOSA GARDENS,MIMOSA ROAD,28,Semi-Detached House,NA,"8,300",250 to 300,"3,000 to 3,500",Dec-24
VISTA GARDEN,TOH TUCK PLACE,21,Terrace House,NA,"9,000",300 to 350,"3,000 to 3,500",Dec-24
WESTWOOD PARK,WESTWOOD CRESCENT,22,Terrace House,NA,"6,400",200 to 250,"2,000 to 2,500",Dec-24
LANDED HOUSING DEVELOPMENT,MANGIS ROAD,15,Terrace House,NA,"8,000",250 to 300,"3,000 to 3,500",Dec-24
TOWNER VILLE,MAY ROAD,12,Terrace House,NA,"5,700",100 to 150,"1,500 to 2,000",Dec-24
LUXUS HILLS,SELETAR GREEN VIEW,28,Semi-Detached House,NA,"9,500",200 to 250,"2,000 to 2,500",Dec-24
FABER HILLS,FABER DRIVE,05,Semi-Detached House,NA,"5,300",200 to 250,"2,000 to 2,500",Dec-24
CAPITOL PARK,JALAN ASUHAN,11,Terrace House,NA,"6,800",150 to 200,"2,000 to 2,500",Dec-24
LANDED HOUSING DEVELOPMENT,LORONG MELAYU,14,Semi-Detached House,NA,"7,200",200 to 250,"2,500 to 3,000",Dec-24
LANDED HOUSING DEVELOPMENT,HARVEY AVENUE,16,Semi-Detached House,NA,"8,800",300 to 350,"3,000 to 3,500",Dec-24
LANDED HOUSING DEVELOPMENT,ROBIN LANE,10,Terrace House,NA,"6,200",200 to 250,"2,500 to 3,000",Dec-24
WOODGROVE ESTATE,ASHWOOD GROVE/WOODLANDS STREET 41,25,Detached House,NA,"12,000",600 to 650,"6,500 to 7,000",Dec-24
LANDED HOUSING DEVELOPMENT,BUKIT AYER MOLEK,21,Detached House,NA,"11,500",200 to 250,"2,000 to 2,500",Dec-24
LANDED HOUSING DEVELOPMENT,OCEAN DRIVE,04,Detached House,NA,"60,000",700 to 750,"7,500 to 8,000",Dec-24
BRADDELL HEIGHTS ESTATE,LYNWOOD GROVE,13,Detached House,NA,"17,000",350 to 400,"3,500 to 4,000",Dec-24
LANDED HOUSING DEVELOPMENT,TAI KENG TERRACE,19,Terrace House,NA,"6,300",150 to 200,"1,500 to 2,000",Dec-24
LANDED HOUSING DEVELOPMENT,GERALD DRIVE,28,Semi-Detached House,NA,"7,200",200 to 250,"2,000 to 2,500",Dec-24
LANDED HOUSING DEVELOPMENT,CHANCERY LANE,11,Semi-Detached House,NA,"14,500",250 to 300,"3,000 to 3,500",Dec-24
CANARY PARK,JALAN SIMPANG BEDOK,16,Terrace House,NA,"5,500",150 to 200,"1,500 to 2,000",Dec-24
VILLAS @ GILSTEAD,GILSTEAD ROAD,11,Semi-Detached House,NA,"7,200",450 to 500,"5,000 to 5,500",Dec-24
DRAGON VIEW PARK,JALAN MUTIARA,10,Terrace House,NA,"9,000",150 to 200,"1,500 to 2,000",Dec-24
CALDECOTT HILL ESTATE,ANDREW ROAD,11,Detached House,NA,"13,200",300 to 350,"3,500 to 4,000",Dec-24
BUKIT VILLAS,RASOK DRIVE,25,Semi-Detached House,NA,"6,700",200 to 250,"2,000 to 2,500",Dec-24
SPRINGHILL TERRACE,SUNRISE AVENUE,28,Terrace House,NA,"5,700",200 to 250,"2,000 to 2,500",Dec-24
KATONG SEAVIEW PALACE,PARBURY AVENUE,16,Terrace House,NA,"7,500",200 to 250,"2,500 to 3,000",Dec-24
ASIMONT VILLAS,ASIMONT LANE,11,Terrace House,NA,"11,500",300 to 350,"3,500 to 4,000",Dec-24
BRADDELL HEIGHTS ESTATE,LYNWOOD GROVE,13,Detached House,NA,"17,000",400 to 450,"4,000 to 4,500",Dec-24
VILLA DE JERVOIS,JERVOIS HILL,10,Detached House,NA,"42,000","950 to 1,000","10,000 to 10,500",Dec-24
BLAIR PLAIN CONSERVATION AREA,BLAIR ROAD,02,Terrace House,NA,"8,500",250 to 300,"3,000 to 3,500",Dec-24
CERELIA VISTA,LORONG AH SOO,19,Terrace House,NA,"7,000",450 to 500,"4,500 to 5,000",Dec-24
THOMSON PARK,JALAN TERUBOK,20,Terrace House,NA,"5,600",150 to 200,"1,500 to 2,000",Dec-24
SUNRISE VILLA,SUNRISE PLACE,28,Terrace House,NA,"5,500",300 to 350,"3,000 to 3,500",Dec-24
KATONG SEAVIEW PALACE,SENNETT TERRACE,16,Terrace House,NA,"7,300",150 to 200,"2,000 to 2,500",Dec-24
LANDED HOUSING DEVELOPMENT,JALAN SEAVIEW,15,Semi-Detached House,NA,"8,500",400 to 450,"4,000 to 4,500",Dec-24
LANDED HOUSING DEVELOPMENT,WILBY ROAD,10,Detached House,NA,"12,800",300 to 350,"3,500 to 4,000",Dec-24
SENNETT ESTATE,BUTTERFLY AVENUE,13,Terrace House,NA,"7,500",150 to 200,"2,000 to 2,500",Dec-24
ORCHID VILLAGE,VANDA DRIVE,11,Semi-Detached House,NA,"9,800",200 to 250,"2,000 to 2,500",Dec-24
BEDOKVILLE,JALAN LIMAU NIPIS,16,Semi-Detached House,NA,"7,000",150 to 200,"1,500 to 2,000",Dec-24
THOMSON GARDEN ESTATE,JALAN HARI RAYA,20,Terrace House,NA,"5,300",100 to 150,"1,000 to 1,500",Dec-24
SERANGOON GARDEN ESTATE,RIPLEY CRESCENT,19,Semi-Detached House,NA,"8,000",200 to 250,"2,000 to 2,500",Dec-24
LANDED HOUSING DEVELOPMENT,JALAN AMPANG,10,Semi-Detached House,NA,"9,500",250 to 300,"2,500 to 3,000",Dec-24
LANDED HOUSING DEVELOPMENT,SOMMERVILLE ROAD,13,Semi-Detached House,NA,"13,000",250 to 300,"3,000 to 3,500",Dec-24
LANDED HOUSING DEVELOPMENT,JALAN GUMILANG,23,Terrace House,NA,"5,700",150 to 200,"1,500 to 2,000",Dec-24
LANDED HOUSING DEVELOPMENT,JALAN KRIAN,14,Terrace House,NA,"8,000",300 to 350,"3,000 to 3,500",Dec-24
HOLLAND GARDENS,MOONBEAM VIEW,10,Semi-Detached House,NA,"9,300",250 to 300,"2,500 to 3,000",Dec-24
ALANA,SUNRISE TERRACE,28,Terrace House,NA,"8,800",300 to 350,"3,500 to 4,000",Dec-24
PAVILION PARK,PAVILION CIRCLE,23,Semi-Detached House,NA,"7,500",150 to 200,"2,000 to 2,500",Dec-24
