Project Name,Street Name,Postal District,Property Type,No of Bedroom,Monthly Rent ($),Floor Area (SQM),Floor Area (SQFT),Lease Commencement Date
THE BROWNSTONE,CANBERRA DRIVE,27,Executive Condominium,3,"4,100",80 to 90,800 to 900,Dec-24
FORESTVILLE,WOODLANDS DRIVE 16,25,Executive Condominium,4,"2,500",130 to 140,"1,300 to 1,400",Dec-24
THE EDEN AT TAMPINES,TAMPINES STREET 34,18,Executive Condominium,4,"4,600",120 to 130,"1,300 to 1,400",Dec-24
SIMEI GREEN CONDOMINIUM,SIMEI STREET 4,18,Executive Condominium,3,"4,000",90 to 100,"900 to 1,000",Dec-24
NORTHOAKS,WOODLANDS CRESCENT,25,Executive Condominium,3,"4,400",110 to 120,"1,200 to 1,300",Dec-24
SUMMERDALE,BOON LAY DRIVE,22,Executive Condominium,3,"4,300",110 to 120,"1,100 to 1,200",Dec-24
THE RIVERVALE,RIVERVALE LINK,19,Executive Condominium,3,"4,500",120 to 130,"1,300 to 1,400",Dec-24
LILYDALE,YISHUN AVENUE 6,27,Executive Condominium,3,"4,500",110 to 120,"1,200 to 1,300",Dec-24
CITYLIFE@TAMPINES,TAMPINES CENTRAL 7,18,Executive Condominium,3,"4,500",100 to 110,"1,100 to 1,200",Dec-24
THE QUINTET,CHOA CHU KANG STREET 64,23,Executive Condominium,3,"4,200",120 to 130,"1,300 to 1,400",Dec-24
PRIVE,PUNGGOL FIELD,19,Executive Condominium,2,"3,700",80 to 90,800 to 900,Dec-24
BELYSA,PASIR RIS DRIVE 1,18,Executive Condominium,3,"4,250",100 to 110,"1,100 to 1,200",Dec-24
1 CANBERRA,CANBERRA DRIVE,27,Executive Condominium,3,"3,800",90 to 100,"1,000 to 1,100",Dec-24
NORTHOAKS,WOODLANDS CRESCENT,25,Executive Condominium,3,"4,100",110 to 120,"1,200 to 1,300",Dec-24
WOODSVALE,WOODLANDS DRIVE 72,25,Executive Condominium,3,"3,600",120 to 130,"1,300 to 1,400",Dec-24
THE BROWNSTONE,CANBERRA DRIVE,27,Executive Condominium,3,"3,000",80 to 90,"900 to 1,000",Dec-24
AUSTVILLE RESIDENCES,SENGKANG EAST AVENUE,19,Executive Condominium,3,"4,150",90 to 100,"1,000 to 1,100",Dec-24
ARC AT TAMPINES,TAMPINES AVENUE 8,18,Executive Condominium,2,"3,300",70 to 80,700 to 800,Dec-24
THE TERRACE,EDGEDALE PLAINS,19,Executive Condominium,3,"4,000",100 to 110,"1,000 to 1,100",Dec-24
OLA,ANCHORVALE CRESCENT,19,Executive Condominium,3,"4,600",90 to 100,"1,000 to 1,100",Dec-24
WINDERMERE,CHOA CHU KANG STREET 64,23,Executive Condominium,3,"4,200",110 to 120,"1,200 to 1,300",Dec-24
EASTVALE,PASIR RIS DRIVE 3,18,Executive Condominium,3,"3,400",110 to 120,"1,100 to 1,200",Dec-24
NORTHWAVE,WOODLANDS VIEW,25,Executive Condominium,3,"3,600",90 to 100,"900 to 1,000",Dec-24
WATERCOLOURS,PASIR RIS LINK,18,Executive Condominium,2,"3,300",90 to 100,"1,000 to 1,100",Dec-24
NORTHOAKS,WOODLANDS CRESCENT,25,Executive Condominium,3,"4,400",110 to 120,"1,200 to 1,300",Dec-24
SIMEI GREEN CONDOMINIUM,SIMEI STREET 4,18,Executive Condominium,3,"3,800",110 to 120,"1,100 to 1,200",Dec-24
SOL ACRES,CHOA CHU KANG GROVE,23,Executive Condominium,2,"3,500",60 to 70,700 to 800,Dec-24
NORTHOAKS,WOODLANDS CRESCENT,25,Executive Condominium,3,"4,050",110 to 120,"1,200 to 1,300",Dec-24
THE BROWNSTONE,CANBERRA DRIVE,27,Executive Condominium,4,"4,800",100 to 110,"1,100 to 1,200",Dec-24
PARC LIFE,SEMBAWANG CRESCENT,27,Executive Condominium,3,"5,800",90 to 100,"1,000 to 1,100",Dec-24
AUSTVILLE RESIDENCES,SENGKANG EAST AVENUE,19,Executive Condominium,3,"4,700",100 to 110,"1,100 to 1,200",Dec-24
SOL ACRES,CHOA CHU KANG GROVE,23,Executive Condominium,2,"3,700",60 to 70,700 to 800,Dec-24
ESPARINA RESIDENCES,COMPASSVALE BOW,19,Executive Condominium,2,"3,400",70 to 80,800 to 900,Dec-24
LA CASA,WOODLANDS DRIVE 16,25,Executive Condominium,3,"4,400",100 to 110,"1,100 to 1,200",Dec-24
THE VALES,ANCHORVALE CRESCENT,19,Executive Condominium,4,"5,500",130 to 140,"1,400 to 1,500",Dec-24
THE ESPARIS,PASIR RIS DRIVE 4,18,Executive Condominium,3,"4,000",110 to 120,"1,100 to 1,200",Dec-24
WATERBAY,EDGEFIELD PLAINS,19,Executive Condominium,4,"3,000",100 to 110,"1,100 to 1,200",Dec-24
1 CANBERRA,CANBERRA DRIVE,27,Executive Condominium,3,"3,750",90 to 100,"1,000 to 1,100",Dec-24
INZ RESIDENCE,CHOA CHU KANG AVENUE 5,23,Executive Condominium,4,"3,950",100 to 110,"1,100 to 1,200",Dec-24
EXECUTIVE CONDOMINIUM DEVELOPMENT,ANCHORVALE CRESCENT,19,Executive Condominium,3,"4,500",80 to 90,"900 to 1,000",Dec-24
CITYLIFE@TAMPINES,TAMPINES CENTRAL 7,18,Executive Condominium,3,"4,600",110 to 120,"1,100 to 1,200",Dec-24
THE VISIONAIRE,CANBERRA DRIVE,27,Executive Condominium,4,"4,000",100 to 110,"1,100 to 1,200",Dec-24
YEW MEI GREEN,CHOA CHU KANG NORTH 6,23,Executive Condominium,3,"3,500",120 to 130,"1,200 to 1,300",Dec-24
BELYSA,PASIR RIS DRIVE 1,18,Executive Condominium,3,"4,500",90 to 100,"1,000 to 1,100",Dec-24
WOODSVALE,WOODLANDS DRIVE 72,25,Executive Condominium,3,"4,000",110 to 120,"1,200 to 1,300",Dec-24
THE TAMPINES TRILLIANT,TAMPINES CENTRAL 7,18,Executive Condominium,3,"5,000",100 to 110,"1,100 to 1,200",Dec-24
THE RAINFOREST,CHOA CHU KANG AVENUE 3,23,Executive Condominium,3,"3,900",80 to 90,"900 to 1,000",Dec-24
THE RIVERVALE,RIVERVALE LINK,19,Executive Condominium,3,"4,100",110 to 120,"1,200 to 1,300",Dec-24
NUOVO,ANG MO KIO AVENUE 9,20,Executive Condominium,3,"4,400",120 to 130,"1,300 to 1,400",Dec-24
BISHAN LOFT,BISHAN STREET 11,20,Executive Condominium,3,"4,700",110 to 120,"1,100 to 1,200",Dec-24
CITYLIFE@TAMPINES,TAMPINES CENTRAL 7,18,Executive Condominium,3,"4,200",110 to 120,"1,100 to 1,200",Dec-24
AUSTVILLE RESIDENCES,SENGKANG EAST AVENUE,19,Executive Condominium,3,"4,500",90 to 100,"1,000 to 1,100",Dec-24
TREASURE CREST,ANCHORVALE CRESCENT,19,Executive Condominium,3,"4,700",100 to 110,"1,000 to 1,100",Dec-24
THE EDEN AT TAMPINES,TAMPINES STREET 34,18,Executive Condominium,3,"4,700",110 to 120,"1,200 to 1,300",Dec-24
WHITEWATER,PASIR RIS STREET 72,18,Executive Condominium,3,"3,600",100 to 110,"1,100 to 1,200",Dec-24
SOL ACRES,CHOA CHU KANG GROVE,23,Executive Condominium,3,"4,100",80 to 90,"900 to 1,000",Dec-24
WATERBAY,EDGEFIELD PLAINS,19,Executive Condominium,3,"4,200",100 to 110,"1,000 to 1,100",Dec-24
THE EDEN AT TAMPINES,TAMPINES STREET 34,18,Executive Condominium,2,"3,050",80 to 90,800 to 900,Dec-24
HERON BAY,UPPER SERANGOON VIEW,19,Executive Condominium,2,"3,800",70 to 80,700 to 800,Dec-24
THE VALES,ANCHORVALE CRESCENT,19,Executive Condominium,3,"3,800",80 to 90,"900 to 1,000",Dec-24
SIMEI GREEN CONDOMINIUM,SIMEI STREET 4,18,Executive Condominium,3,"3,600",90 to 100,"900 to 1,000",Dec-24
THE ESPARIS,PASIR RIS DRIVE 4,18,Executive Condominium,3,"4,400",110 to 120,"1,200 to 1,300",Dec-24
WOODSVALE,WOODLANDS DRIVE 72,25,Executive Condominium,3,"3,800",110 to 120,"1,200 to 1,300",Dec-24
1 CANBERRA,CANBERRA DRIVE,27,Executive Condominium,3,"3,700",80 to 90,"900 to 1,000",Dec-24
ESPARINA RESIDENCES,COMPASSVALE BOW,19,Executive Condominium,2,"3,800",70 to 80,800 to 900,Dec-24
WOODSVALE,WOODLANDS DRIVE 72,25,Executive Condominium,3,"4,550",120 to 130,"1,300 to 1,400",Dec-24
WANDERVALE,CHOA CHU KANG AVENUE 3,23,Executive Condominium,3,"4,000",100 to 110,"1,000 to 1,100",Dec-24
THE FLORAVALE,WESTWOOD AVENUE,22,Executive Condominium,3,"4,800",110 to 120,"1,100 to 1,200",Dec-24
ECOPOLITAN,PUNGGOL WALK,19,Executive Condominium,4,"4,400",110 to 120,"1,100 to 1,200",Dec-24
PINEVALE,TAMPINES STREET 73,18,Executive Condominium,3,"4,600",120 to 130,"1,200 to 1,300",Dec-24
SIGNATURE AT YISHUN,YISHUN STREET 51,27,Executive Condominium,3,"3,900",100 to 110,"1,000 to 1,100",Dec-24
SIMEI GREEN CONDOMINIUM,SIMEI STREET 4,18,Executive Condominium,3,"4,000",110 to 120,"1,100 to 1,200",Dec-24
WESTWOOD RESIDENCES,WESTWOOD AVENUE,22,Executive Condominium,2,"3,800",60 to 70,600 to 700,Dec-24
BELYSA,PASIR RIS DRIVE 1,18,Executive Condominium,3,"3,900",100 to 110,"1,000 to 1,100",Dec-24
SUMMERDALE,BOON LAY DRIVE,22,Executive Condominium,3,"4,400",120 to 130,"1,300 to 1,400",Dec-24
NORTHOAKS,WOODLANDS CRESCENT,25,Executive Condominium,3,"4,200",150 to 160,"1,600 to 1,700",Dec-24
THE CANOPY,YISHUN AVENUE 11,27,Executive Condominium,2,"3,850",90 to 100,"1,000 to 1,100",Dec-24
WESTWOOD RESIDENCES,WESTWOOD AVENUE,22,Executive Condominium,2,"3,500",60 to 70,600 to 700,Dec-24
WINDERMERE,CHOA CHU KANG STREET 64,23,Executive Condominium,3,"4,200",130 to 140,"1,400 to 1,500",Dec-24
THE FLORAVALE,WESTWOOD AVENUE,22,Executive Condominium,3,"4,650",110 to 120,"1,200 to 1,300",Dec-24
THE EDEN AT TAMPINES,TAMPINES STREET 34,18,Executive Condominium,3,"4,000",110 to 120,"1,200 to 1,300",Dec-24
LA CASA,WOODLANDS DRIVE 16,25,Executive Condominium,3,"3,300",100 to 110,"1,100 to 1,200",Dec-24
WOODSVALE,WOODLANDS DRIVE 72,25,Executive Condominium,3,"3,500",120 to 130,"1,200 to 1,300",Dec-24
WHITEWATER,PASIR RIS STREET 72,18,Executive Condominium,3,"3,900",100 to 110,"1,100 to 1,200",Dec-24
ESPARINA RESIDENCES,COMPASSVALE BOW,19,Executive Condominium,2,"4,200",70 to 80,800 to 900,Dec-24
PINEVALE,TAMPINES STREET 73,18,Executive Condominium,3,"4,300",120 to 130,"1,300 to 1,400",Dec-24
EASTVALE,PASIR RIS DRIVE 3,18,Executive Condominium,3,"4,000",110 to 120,"1,200 to 1,300",Dec-24
YEW MEI GREEN,CHOA CHU KANG NORTH 6,23,Executive Condominium,3,"4,000",120 to 130,"1,300 to 1,400",Dec-24
THE VISIONAIRE,CANBERRA DRIVE,27,Executive Condominium,3,"4,000",70 to 80,800 to 900,Dec-24
WOODSVALE,WOODLANDS DRIVE 72,25,Executive Condominium,3,"4,300",120 to 130,"1,200 to 1,300",Dec-24
NUOVO,ANG MO KIO AVENUE 9,20,Executive Condominium,3,"4,200",100 to 110,"1,100 to 1,200",Dec-24
THE TOPIARY,FERNVALE LANE,28,Executive Condominium,3,"4,800",90 to 100,"1,000 to 1,100",Dec-24
NORTHOAKS,WOODLANDS CRESCENT,25,Executive Condominium,3,"4,500",110 to 120,"1,200 to 1,300",Dec-24
ESPARINA RESIDENCES,COMPASSVALE BOW,19,Executive Condominium,4,"6,200",120 to 130,"1,300 to 1,400",Dec-24
SIMEI GREEN CONDOMINIUM,SIMEI STREET 4,18,Executive Condominium,3,"4,600",110 to 120,"1,200 to 1,300",Dec-24
SOL ACRES,CHOA CHU KANG GROVE,23,Executive Condominium,2,"3,700",60 to 70,700 to 800,Dec-24
THE TOPIARY,FERNVALE LANE,28,Executive Condominium,3,"4,500",90 to 100,"1,000 to 1,100",Dec-24
THE FLORIDA,HOUGANG AVENUE 7,19,Executive Condominium,3,"3,700",110 to 120,"1,200 to 1,300",Dec-24
1 CANBERRA,CANBERRA DRIVE,27,Executive Condominium,3,"3,200",80 to 90,"900 to 1,000",Dec-24
NORTHOAKS,WOODLANDS CRESCENT,25,Executive Condominium,3,"4,400",110 to 120,"1,200 to 1,300",Dec-24
RIVERCOVE RESIDENCES,ANCHORVALE LANE,19,Executive Condominium,4,"5,100",110 to 120,"1,200 to 1,300",Dec-24
PRIVE,PUNGGOL FIELD,19,Executive Condominium,2,"3,400",70 to 80,700 to 800,Dec-24
ESPARINA RESIDENCES,COMPASSVALE BOW,19,Executive Condominium,3,"4,500",90 to 100,"1,000 to 1,100",Dec-24
THE VALES,ANCHORVALE CRESCENT,19,Executive Condominium,2,"3,400",70 to 80,700 to 800,Dec-24
LILYDALE,YISHUN AVENUE 6,27,Executive Condominium,3,"4,000",110 to 120,"1,100 to 1,200",Dec-24
SOL ACRES,CHOA CHU KANG GROVE,23,Executive Condominium,1,"3,200",50 to 60,500 to 600,Dec-24
THE QUINTET,CHOA CHU KANG STREET 64,23,Executive Condominium,3,"4,000",110 to 120,"1,200 to 1,300",Dec-24
THE QUINTET,CHOA CHU KANG STREET 64,23,Executive Condominium,3,"4,200",110 to 120,"1,200 to 1,300",Dec-24
THE BROWNSTONE,CANBERRA DRIVE,27,Executive Condominium,4,"4,900",100 to 110,"1,000 to 1,100",Dec-24
BISHAN LOFT,BISHAN STREET 11,20,Executive Condominium,3,"4,800",100 to 110,"1,100 to 1,200",Dec-24
THE RIVERVALE,RIVERVALE LINK,19,Executive Condominium,3,"4,100",120 to 130,"1,300 to 1,400",Dec-24
WATERWOODS,PUNGGOL FIELD WALK,19,Executive Condominium,3,"4,400",90 to 100,"1,000 to 1,100",Dec-24
WOODSVALE,WOODLANDS DRIVE 72,25,Executive Condominium,3,"3,800",110 to 120,"1,200 to 1,300",Dec-24
BELLEWATERS,ANCHORVALE CRESCENT,19,Executive Condominium,3,"4,000",90 to 100,"900 to 1,000",Dec-24
SUMMERDALE,BOON LAY DRIVE,22,Executive Condominium,3,"5,300",110 to 120,"1,200 to 1,300",Dec-24
THE VALES,ANCHORVALE CRESCENT,19,Executive Condominium,4,"4,850",110 to 120,"1,200 to 1,300",Dec-24
BELLEWATERS,ANCHORVALE CRESCENT,19,Executive Condominium,3,"4,000",80 to 90,"900 to 1,000",Dec-24
NORTHOAKS,WOODLANDS CRESCENT,25,Executive Condominium,3,"4,200",110 to 120,"1,200 to 1,300",Dec-24
THE TAMPINES TRILLIANT,TAMPINES CENTRAL 7,18,Executive Condominium,3,"4,400",100 to 110,"1,100 to 1,200",Dec-24
THE BROWNSTONE,CANBERRA DRIVE,27,Executive Condominium,3,"4,350",80 to 90,"900 to 1,000",Dec-24
THE CANOPY,YISHUN AVENUE 11,27,Executive Condominium,2,"4,400",90 to 100,"1,000 to 1,100",Dec-24
WATERCOLOURS,PASIR RIS LINK,18,Executive Condominium,2,"3,350",70 to 80,700 to 800,Dec-24
WANDERVALE,CHOA CHU KANG AVENUE 3,23,Executive Condominium,3,"4,100",80 to 90,"900 to 1,000",Dec-24
WOODSVALE,WOODLANDS DRIVE 72,25,Executive Condominium,3,"4,000",110 to 120,"1,200 to 1,300",Dec-24
SIMEI GREEN CONDOMINIUM,SIMEI STREET 4,18,Executive Condominium,3,"4,100",110 to 120,"1,200 to 1,300",Dec-24
FORESTVILLE,WOODLANDS DRIVE 16,25,Executive Condominium,4,"5,000",110 to 120,"1,200 to 1,300",Dec-24
SUMMERDALE,BOON LAY DRIVE,22,Executive Condominium,3,"4,300",110 to 120,"1,200 to 1,300",Dec-24
THE RIVERVALE,RIVERVALE LINK,19,Executive Condominium,3,"4,200",110 to 120,"1,200 to 1,300",Dec-24
WESTMERE,JURONG EAST STREET 13,22,Executive Condominium,3,"4,300",120 to 130,"1,300 to 1,400",Dec-24
PIERMONT GRAND,SUMANG WALK,19,Executive Condominium,3,"4,600",90 to 100,"900 to 1,000",Dec-24
AUSTVILLE RESIDENCES,SENGKANG EAST AVENUE,19,Executive Condominium,3,"3,800",90 to 100,"1,000 to 1,100",Dec-24
THE TOPIARY,FERNVALE LANE,28,Executive Condominium,3,"3,800",80 to 90,"900 to 1,000",Nov-24
LILYDALE,YISHUN AVENUE 6,27,Executive Condominium,3,"4,200",110 to 120,"1,200 to 1,300",Nov-24
PRIVE,PUNGGOL FIELD,19,Executive Condominium,3,"4,200",100 to 110,"1,000 to 1,100",Nov-24
THE AMORE,EDGEDALE PLAINS,19,Executive Condominium,4,"4,600",120 to 130,"1,300 to 1,400",Nov-24
SIMEI GREEN CONDOMINIUM,SIMEI STREET 4,18,Executive Condominium,3,"4,150",110 to 120,"1,100 to 1,200",Nov-24
YEW MEI GREEN,CHOA CHU KANG NORTH 6,23,Executive Condominium,3,"3,900",120 to 130,"1,200 to 1,300",Nov-24
WATERBAY,EDGEFIELD PLAINS,19,Executive Condominium,4,"4,400",100 to 110,"1,100 to 1,200",Nov-24
PRIVE,PUNGGOL FIELD,19,Executive Condominium,3,"4,300",90 to 100,"1,000 to 1,100",Nov-24
ECOPOLITAN,PUNGGOL WALK,19,Executive Condominium,4,"4,600",110 to 120,"1,100 to 1,200",Nov-24
THE RIVERVALE,RIVERVALE LINK,19,Executive Condominium,3,"4,400",120 to 130,"1,300 to 1,400",Nov-24
THE FLORAVALE,WESTWOOD AVENUE,22,Executive Condominium,3,"4,500",120 to 130,"1,300 to 1,400",Nov-24
NUOVO,ANG MO KIO AVENUE 9,20,Executive Condominium,3,"4,300",120 to 130,"1,300 to 1,400",Nov-24
EASTVALE,PASIR RIS DRIVE 3,18,Executive Condominium,3,"3,700",110 to 120,"1,100 to 1,200",Nov-24
SOL ACRES,CHOA CHU KANG GROVE,23,Executive Condominium,2,"4,000",70 to 80,800 to 900,Nov-24
THE CANOPY,YISHUN AVENUE 11,27,Executive Condominium,3,"4,380",110 to 120,"1,100 to 1,200",Nov-24
THE VISIONAIRE,CANBERRA DRIVE,27,Executive Condominium,3,"4,000",100 to 110,"1,100 to 1,200",Nov-24
WINDERMERE,CHOA CHU KANG STREET 64,23,Executive Condominium,3,"4,350",130 to 140,"1,400 to 1,500",Nov-24
WATERWOODS,PUNGGOL FIELD WALK,19,Executive Condominium,3,"4,800",90 to 100,"1,000 to 1,100",Nov-24
WANDERVALE,CHOA CHU KANG AVENUE 3,23,Executive Condominium,3,"3,980",100 to 110,"1,000 to 1,100",Nov-24
TWIN FOUNTAINS,WOODLANDS AVENUE 6,25,Executive Condominium,3,"4,500",100 to 110,"1,000 to 1,100",Nov-24
THE FLORIDA,HOUGANG AVENUE 7,19,Executive Condominium,3,"4,000",110 to 120,"1,200 to 1,300",Nov-24
THE TAMPINES TRILLIANT,TAMPINES CENTRAL 7,18,Executive Condominium,3,"4,800",100 to 110,"1,100 to 1,200",Nov-24
